"date" "month" "week" "day" "year" "ALBEN" "AMERI" "ARROW" "BONFE" "BONNE" "BOUND" "BOXCA" "BROWN" "CABIN" "CHELA" "CHIEF" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "IPARK" "JDAYY" "JLAKE" "LIBBY" "LGOOS" "LGRAN" "LMONU" "BOISE" "MCNAR" "MICAA" "MILNE" "MINAD" "NOXON" "OWYHE" "OXBOW" "PALIS" "PAYHS" "PELTO" "PRIRA" "REVEL" "RIRDM" "RISLA" "ROCKY" "THOMF" "WANAP" "WELLS"
2003-02-09 2 28 9 2003 441440.84564507 112842.109830915 293077.67606959 137448.06962928 4540803.19228294 305185.80745051 300154.947762233 398833.105780208 373233.154175323 11049.1092514945 2068062.18350082 186693.226434538 4327024.14346073 7309.10325130806 253019.331855523 61451.7673149418 24382.1867171369 1938555.28605215 359315.13214517 997772.5172116 5660.86272067249 4259489.5375184 7738.73339997627 40986.91850169 903520.31044169 883880.16374517 1080811.12612539 49576.2354087241 3912894.99755766 47379.866239759 120283.317551579 112555.190138689 343968.24949655 145.436177607638 332930.373673128 40799.1618113054 33917.4929117696 89228.4240974463 2221013.95027434 243156.285872138 1275.94565244724 2156847.1938797 2110376.89171581 307325.562327044 2145087.85425989 2090329.93129798
2003-02-16 2 29 16 2003 348189.74615349 67438.0044770984 309559.141205385 106261.097643384 4361765.8662632 502494.074120632 495542.086993006 282939.07512024 276775.152917706 9897.61563152075 2200060.68851692 160878.372200641 4088604.4692561 6826.43714919714 120908.723173631 67817.7925028237 18881.4317201404 1921538.1725869 389843.259225087 730136.940304253 5608.37473865124 3994125.31221181 7656.76937670258 37286.3022269958 695251.958753749 693032.353583273 774251.79659927 36683.3884306053 3657075.53458166 46852.3768373052 67606.8094740094 65310.5499540919 266984.782493924 95.6378835933385 371849.80722732 31311.3150741566 32559.2695838458 64171.1729870504 2410416.1179609 268107.763003976 1472.78453841915 2353635.30013402 2296035.02211536 256898.195691546 2373273.10253188 2231332.61514539
2003-02-23 2 30 23 2003 346028.141810785 74095.239232141 378235.075085496 128711.787308893 2520976.61122169 352936.9252061 348069.917730517 385164.897883201 287699.086909858 10162.2914890555 797007.41127944 215630.889220358 2304719.19816694 6834.98508972573 125705.956158797 93540.2062311279 18489.4037118454 1258297.56625778 421632.415911473 718144.685443734 5574.11767452316 2228193.62714284 7564.20784646313 38935.2333531751 688955.786724272 695148.818925869 780409.111119342 38343.7726840039 2022186.8398078 46944.1213498863 79851.5647980062 76805.7264328797 285146.716941305 137.110209974477 396668.897883201 31001.9609943335 35174.31601292 69938.7583264893 925831.644443637 328353.260343805 1565.94007633733 897338.816106415 854279.710249616 285897.881329121 892189.881353041 822670.563306533
2003-03-02 3 31 2 2003 353054.07317333 52680.5452183719 415334.297690991 137515.211965139 2588561.16631093 358577.124711919 354774.811872681 248841.644691158 284814.791633528 8714.97598305486 985998.424633453 245605.775613847 2410996.51919544 6056.15799688785 91801.8711490535 104680.779632487 15570.3206694151 1289203.85282356 344117.101040886 681240.331034128 5063.29117795977 2312109.50509472 7194.86031923368 34052.2755314581 661995.459991373 655359.558738469 719079.415228974 28666.8516582555 2097336.3020615 50526.7415837129 51567.9548407572 50895.4523590415 284490.273252129 71.5301791354104 323524.644691158 27260.2835673254 23883.4566703935 52712.5570425655 1105099.19545757 365379.88232713 1460.6966618169 1078006.27571097 1043307.56394058 287057.919448784 1081909.28006208 1003934.95523196
2003-03-09 3 32 9 2003 312095.225926469 37162.6188799941 362670.351052986 133883.18696553 1938134.19931886 313928.388750432 312758.663512678 157621.840791911 227062.03658415 8065.25343814803 1059613.97618786 240621.323818491 1845884.38807617 5315.43339150715 68757.0877193547 92163.5847300736 10871.3384291322 1083690.65596734 176289.096896635 398608.021609297 3845.08375554299 1715410.17654001 6401.24276555368 29402.8195081338 423823.397249818 429972.159826194 441431.193369626 21560.1597159473 1624314.39140335 60327.6877208618 34865.3869583536 36146.7585236077 225131.042697572 65.8534218220208 164333.400525648 21643.939816142 21021.2099092247 48841.5573107933 1172774.87437102 303976.331125211 1381.72623028348 1131150.00177158 1121112.64477288 224835.890758796 1144136.0107892 1078628.77044651
2003-03-16 3 33 16 2003 308822.398907314 103172.982400544 318773.283491025 190567.584384579 2003129.73103014 301545.008860101 305026.892508677 296157.79304525 233876.056017306 27457.9757424272 978848.507859664 250109.596011746 1899050.1756539 14785.2882845978 308015.520965489 115258.008043714 48286.6331454324 1008050.98285771 328800.171792045 730239.369939689 10457.6577110456 1794572.3093006 11159.9101439914 55419.9281306679 869521.413373895 933225.655965565 857896.533963936 45636.0833657321 1823001.28494864 63189.945420356 91182.3877537668 88807.7544681608 234396.816314892 73.6161674530623 302869.352778987 66580.9291236443 76957.4822923765 88553.6459890557 1057985.26538922 218376.044506988 2609.99767509779 1065297.04009142 1034880.81555023 252144.847726296 1043389.71316818 1009651.33354843
2003-03-23 3 34 23 2003 839832.953719538 135928.536232253 335256.453459499 276211.557919947 3591052.3894904 739381.970612873 748440.609201781 495324.082867686 560322.18578463 23642.3173227299 2043028.86765259 417597.628006621 3761929.03106147 18407.5429381304 264255.895737955 169893.608692155 62466.8149839692 1934828.57581091 548369.535253595 1689625.28577184 7940.82084808766 3679354.82338591 8421.23800621443 79024.7937189974 1722618.83986041 1670992.35951012 1830474.27852694 54636.8654263588 3667149.16864961 73697.6952385949 132726.519739651 144922.727116142 529940.710332555 109.926335547681 502035.642601423 52889.1317590214 86673.4778992111 86499.663982519 2067970.94775859 172866.117803504 2146.80465528415 2074649.36454837 2111971.3438778 496516.690062798 2025303.19194485 2112498.30534514
2003-03-30 3 35 30 2003 628153.194838922 81751.4640474411 298293.681429814 250092.625739048 4210804.42236248 582484.478517448 581696.314395999 381310.216713975 363135.240204685 16589.1059270632 1912384.45888207 374076.117611216 4209911.70336401 11497.8194142187 275588.531676446 99306.0412079289 40004.3647709282 1870530.80051559 432914.915042382 1298120.74230213 4903.46985570743 3994164.98351116 7435.3069918541 72374.1122673029 1325898.80224976 1309222.06025759 1421822.22277313 59003.918237462 3718098.17450863 67211.8627805985 79709.9964612812 82126.5793986308 338215.32428717 238.310904414099 399137.853897704 40422.9198916056 91205.3161449617 97786.6088820005 2227384.2630866 154658.84081134 1880.12762615803 2065958.70532629 2065208.00727973 311980.057042708 2119781.28944017 1974676.20114753
2003-04-06 4 36 6 2003 332062.463775412 89504.4736083036 339229.207866849 149078.177366341 3582477.4287829 464108.067430548 470185.215773617 460336.292448766 283743.665278323 21505.2732926926 1559514.40321361 238684.187503549 3466724.56837317 16038.2065896286 222994.933794454 132401.823928237 75561.2686067153 1299907.96765584 468092.337853197 1233471.60219713 7052.21877486274 3398615.67207722 11686.5933416705 88491.8044706706 1285957.60164356 1294467.21716112 1323138.45660276 61384.8524908295 3215883.7541904 100246.33317688 92183.7341047696 87509.8969564654 272229.638235436 2611.20408888983 456854.894199986 49095.0862235973 74752.5291345377 79827.7261109784 1760940.3291871 227837.816158857 2361.32615034825 1702146.46646456 1647053.13373451 270070.788581124 1722033.61537805 1574111.31198089
2003-04-13 4 37 13 2003 326779.817240267 74595.3751594569 301834.096048477 119442.191520932 3675832.63193397 84687.780154361 70085.710589024 424508.221766961 219341.664173371 25611.1367654619 1570843.62626537 195390.642388554 3553128.34972467 17271.8047336707 154497.001019313 80158.8728828053 55928.8908764087 897188.954570838 429378.233846077 1385714.80053703 7119.07887001772 3516672.36416531 13671.0334673273 73531.2808136632 1364506.85220533 1354758.98830362 1423879.38988182 59975.6263026273 3341248.00697102 103605.189995897 79997.7940449839 74380.5922544559 198635.814399344 2480.92594329034 432142.900968173 61849.6644294394 77332.0414513445 78336.6693176994 1737752.49328831 232518.3093469 2474.45806097641 1691019.34977834 1624719.95126709 182342.475779752 1708787.34185159 1554092.41386574
