"date" "month" "week" "day" "year" "TotalFloodSpace" "TotalRelReducReq" "TotalMcNarySharedWater" "TotalBONSharedWater" "GCSupForVernitaBar" "BRLGSup" "BRRelForJBandLP" "DWLGSup" "DWFirmEngSup" "GCFirmEngSup" "TotalEnergySup" "UpstreamFloodEvacGC" "TotalFloodRelSharedWater" "GCMinFloodRelReq" "ARMinFloodRelReq" "ControlledFlow" "BRIn" "GCIn"
1994-12-18 12 20 18 1994 3264117.31931339 0 720908.517952916 2021050.11521467 204413 0 66590.079388733 0 NA 0 NA NA 0 0 0 10000022512.3985 219725.579798581 814338.361837861
1994-12-25 12 21 25 1994 2023830.99812345 0 606175.472834995 1597614.79286469 0 0 52588.897788208 0 NA 17259.3742997008 NA NA 0 0 0 10000020169.036 244962.123215043 1116538.92753995
1995-01-01 1 22 1 1995 2371896.21915241 0 611788.248055639 1712575 0 0 63449.451321502 0 NA 39094.9362137886 NA NA 0 0 0 10000022071.306 183656.383944135 1022264.58660886
1995-01-08 1 23 8 1995 3908813.7861044 0 7118208.40035386 801997.640886189 230687.166700025 0 65158.957918873 0 NA 57745.466608148 NA NA 1260911.34204813 0 0 10000022389.2805 197090.200832835 762762.209088123
1995-01-15 1 24 15 1995 4103602.18279936 0 6118351.38990975 696101.018518076 369402.83462846 0 62823.25129806 0 NA 23280.6793338345 NA NA 1028096.04032593 0 0 10000019046.2904 237470.246250548 649745.744022779
1995-01-22 1 25 22 1995 4112442.73095713 0 5063380.44187365 663353.542208348 383201.376079918 0 59314.441108886 0 NA 31206.692123883 NA NA 944115.541583691 0 0 10000015166.5584 219974.684986159 674805.742440553
1995-01-29 1 26 29 1995 4721971.15834706 0 4092876.23167998 853128.779055925 399458.796277583 0 66984.960617338 0 NA 0 NA NA 435609.76228779 0 0 10000012793.8064 166680.560206547 663740.400863052
1995-02-05 2 27 5 1995 4738666.79718571 0 2974230.63034104 608965.106916279 391292.951457076 0 67328.60352043 0 NA 8672.89894018586 NA NA 176712.49898788 0 0 10000008655.1929 242005.654398797 714734.858328267
1995-02-12 2 28 12 1995 4899417.17811443 0 3974146.39729301 2853915.1406679 367276.286450086 0 64948.436691812 0 NA 816.731338995915 NA NA 1315093.14013611 0 0 10000006299.7946 216560.724705015 815869.05857713
1995-02-19 2 29 19 1995 4444778.86838805 0 2687270.3835659 1881085.2686193 345350.935424694 0 68294.486271087 0 NA 5797.17180398536 NA NA 497039.286989784 0 0 10000003640.7015 211475.954949186 605462.138976049
1995-02-26 2 30 26 1995 4162627.53416667 0 1504202.2971669 966948.523998625 336239.51807644 0 67520.609712267 0 NA 8905.40875084539 NA NA 0 0 0 10000001330.2662 204277.326770591 621266.239147936
1995-03-05 3 31 5 1995 1780544.57559112 0 277431.393649767 255811.393649782 243266.39364979 0 68149.974525999 0 NA 0 NA NA 0 0 0 1e+10 142575.044976166 530608.617706186
1995-03-12 3 32 12 1995 1472852.87648477 0 153174.000000023 80181.9999999986 0 0 69226.197090904 0 NA 0 NA NA 0 0 0 1e+10 129984.007791004 480321.996005044
1995-03-19 3 33 19 1995 1508744.60850686 0 355753.205002212 282761.205002262 202579.205002257 0 72659.895621271 0 NA 0 NA NA 0 0 0 1e+10 185815.256367956 650827.205002256
1995-03-26 3 34 26 1995 1466674.54019665 0 317289.797374572 244297.797374593 164115.797374601 0 46560.7900392661 0 NA 0 NA NA 0 0 0 1e+10 382926.945595162 606414.797374601
1995-04-02 4 35 2 1995 1833732.07726846 0 586198.29504207 527437.02354477 118414.22181052 0 51430.55619976 0 NA 77782.512000549 NA NA 0 0 0 1e+10 300475.892188522 886230.295042058
1995-04-09 4 36 9 1995 1546677.17573616 0 45166.0359710257 45166.0359710257 0 0 50195.518893222 0 NA 0 NA NA 1.16415321826935e-09 0 0 1e+10 374069.333879305 852064.527723742
1995-04-16 4 37 16 1995 2154921.74274519 0 60099.2000000014 60099.2000000014 0 120118.365823985 54749.741162005 91051.1948398519 NA 0 NA NA 0 0 0 411926.575694597 317746.713755222 821768.736232867
1995-04-23 4 38 23 1995 2424213.34179726 0 87866.799999997 87866.799999997 0 44958.2009911268 47107.324132134 304853.089719496 NA 0 NA NA 0 0 0 411926.575694597 261223.466900852 1011232.68771312
