"Weeks_final" "Months" "Days" "Years" "ALBEN" "AMERI" "ARROW" "BONFE" "BONNE" "BOUND" "BOXCA" "BROWN" "CABIN" "CHELA" "CHIEF" "COLFA" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "IPARK" "JDAYY" "JLAKE" "LIBBY" "LGOOS" "LGRAN" "LMONU" "LUCKY" "MCNAR" "MICAA" "MILNE" "MINAD" "NOXON" "OWYHE" "OXBOW" "PALIS" "PAYHS" "PELTO" "PRIRA" "REVEL" "RIRDM" "RISLA" "ROCKY" "THOMF" "WANAP" "WELLS" "SNKHE" "HFORK" "LIMEP"
1 8 6 2006 235924.404496458 142567.695590307 433856.982834396 140020.28548815 2910907.57584475 249925.327639372 252757.8275451 612334.646518386 209317.456007736 10710.7014861547 1275978.6410322 34192.5318282285 231702.219850524 2778403.47836978 32170.7625827671 14954.9227331811 72828.2246716402 9946.21080292606 1107483.0509718 618659.794552531 787873.399351797 5800.27896312283 2597493.79913706 5418.38544606489 126082.889343071 825458.242365342 821222.167127961 840620.373395544 8403.17404462391 2444534.60118209 283688.269898543 162729.956434738 145311.859795863 213425.200882058 4959.69127121058 612334.646518386 41264.9703405054 14263.2315150153 83184.5506502213 1497671.58690742 392856.554487842 1102.8737736758 1403968.1103268 1382975.93913454 215496.882610659 1436486.17312189 1344724.47055449 61308.7240927926 28113.9814742773 735468.589469679
2 8 13 2006 195674.420703042 140570.200507327 355561.526161008 114742.89293246 1948454.82801254 206846.788012231 209909.021656409 548028.718174187 173528.166587054 9578.41902971299 1006145.60031333 25237.2709026272 186314.022587096 1848188.48712289 21141.6899941088 12814.337082064 58495.4056832437 8280.10719844049 888169.032726577 552534.661571351 650607.991120235 5977.88301599035 1720977.04332169 5091.65001279208 99962.99243066 685513.745180654 686146.846946107 692082.063886974 7538.1229174938 1704718.92609664 250695.893354898 157065.645074312 141440.962984366 178240.159474141 4677.42972700607 548028.718174187 40170.8271481325 12006.1352262598 79793.911480019 1081058.83469245 345000.624101702 918.723583546778 1057410.57064636 1054078.0864113 179673.165317504 1055529.92304383 1050108.60384168 59472.484670106 27829.5526851639 636360.472754144
3 8 20 2006 190904.907768762 132276.485955105 371581.333064326 124647.639326394 1674803.0097125 199692.467953454 203845.075804635 528020.228521521 177885.602692323 9397.54441690077 929799.450895733 35576.1217105973 211502.142738358 1599341.49298143 31226.4119013007 16037.8771157566 70385.2747251067 9238.78938066343 850155.904005139 531708.213509218 623075.700117 5546.44878523677 1491638.94796945 4811.35375860882 110694.699666165 659073.794220883 662669.107666429 666598.455854645 7402.09728655034 1497092.68475101 248722.435662646 147878.542266319 133175.916193627 184213.455038359 4446.47159871406 528020.228521521 38221.297693863 11819.0711980256 73955.2148640517 929160.056592812 320281.855122988 778.713037315546 932255.531555008 940303.457985299 187863.065731314 913771.694560534 964899.933402 55373.5837103739 26668.0736745363 609123.94519292
4 8 27 2006 196824.903486655 134444.172831335 368684.539995905 114178.516638783 1683906.79484291 208063.576173478 211145.111883557 502108.129699042 172878.487134148 8644.183985036 992017.738356248 30133.3829554503 205688.475660007 1626082.60505245 41051.5201634172 13468.6978826106 59904.313379274 8193.42898696985 880415.815541345 504511.877709988 586567.132066307 5378.31888570982 1533738.04209063 4633.14534931552 102250.418940545 619020.100023807 621365.502615999 625070.845676402 6933.99826954389 1562215.46353118 250619.270777186 149255.000559999 134520.674167175 176447.816234727 4216.01498340309 502108.129699042 38932.8010812443 11617.924782146 64303.1664349399 1038788.9087508 308892.899382179 694.222507910342 1025094.39020037 1028705.83238279 176963.940626222 1017468.45354656 1035149.67481188 56960.0598911957 26110.5452937859 576008.326278382
5 9 3 2006 265509.174962139 124695.037016323 1197079.44428632 238104.370578804 1663793.63333269 262033.511957143 274074.933687686 566480.774901531 257110.047889495 9084.30691679129 1617514.05770318 90518.9742654388 575544.520005123 1657810.41643967 172036.670079581 39264.0836991555 142407.495529156 15598.9808054149 1634671.42593235 578368.31067405 739944.595456239 5819.62566432636 1657496.36032318 4582.52685624656 206604.662554412 791868.339600492 798636.747571388 801376.534124708 8913.86144011562 1715445.56084878 424417.11819192 147475.9134778 132294.720070815 265327.665338234 4963.27602874169 566480.774901531 35630.368238022 15958.350259041 80973.7348955178 1322118.85958642 518272.066394127 1022.75070800811 1461920.76421499 1520439.26944105 267624.739867743 1337908.1998398 1692262.34899641 51057.5480467095 26465.090190444 660612.830114912
6 9 10 2006 198758.647262411 108989.459371954 332781.555284774 94033.0481083465 2691005.23236459 202027.992902983 205595.229151906 538500.361002159 159964.052252098 4922.57545463239 1189866.00497656 21034.3695571833 172038.481014258 2655147.25659971 25732.0790350362 11865.4415759075 40606.4541592949 7384.37816718865 1009363.01008006 555053.186470865 578909.882449542 5124.00839009988 2761177.59086592 3771.00307970911 83969.4095426481 611283.417975441 609561.824245489 619918.64266079 6991.81271160958 2389621.84986389 144296.531329617 138463.222335043 125696.976710515 164410.571538407 4898.72045938845 538500.361002159 29552.4056594909 11288.482868678 75374.0744507361 1577143.4314103 233727.008438869 1342.78995766424 1417485.5826489 1359058.95285268 159910.484553927 1477702.76307776 1259302.91778252 42330.1248972937 23668.6031959687 589979.029751742
7 9 17 2006 161685.587496056 103654.427059062 277598.735851192 85647.9092534077 1443750.72141926 159007.015468068 165070.459844325 499494.875786153 144401.151746229 5344.35768404452 583743.605089516 23212.3876005063 140212.331477188 1346694.51859539 31432.133747921 11011.4120084769 41567.6452050348 7179.84620982781 551945.278489493 513795.31246418 512294.530502311 5200.79899657956 1349524.12662124 3674.53556015715 82618.6374053053 552913.946200346 555973.789809213 554206.136130899 6553.60549103827 1134087.69287577 149409.897943702 131000.261210467 119254.553659401 151666.213133583 4597.55150876369 499494.875786153 28610.7384998627 10685.0187882557 71765.9251287172 637538.346722073 223881.585850582 1169.87987021134 625027.343823097 616692.381486742 150867.609257367 614528.126010491 616838.43623821 40801.4411491793 23380.2813426945 545414.433130617
8 9 24 2006 149988.293914816 100021.864272243 216316.670505518 72980.8053085189 1217944.56228341 148899.366692736 153686.925387152 471203.390342898 131701.582009693 4483.30604979573 561108.340001407 15617.0106854144 116838.77279985 1190128.00322743 18888.4393948637 9037.3290221199 31584.5482399692 5571.33255017834 516757.846800181 484527.259419867 478023.898203926 4952.02214039977 1220909.289996 3486.68307880308 70313.3380184667 516496.091032265 519414.577254314 517254.887664603 6257.05457780147 1077188.50848692 127015.475358326 127202.31315525 115548.310999026 137987.052630652 4121.37120333435 471203.390342898 27479.3355915396 10101.4864100541 65113.182449661 625063.672518174 190507.398542012 1097.60832339018 603166.903407317 592413.044746889 136830.227944584 600058.732931845 581851.98907617 39193.3333659871 22480.4729265539 514665.700825848
9 10 1 2006 140003.030200122 99021.0587046096 160423.852735508 67085.0440041842 1081638.70006704 139030.943181785 143207.751011892 447637.299005732 123912.31271362 4133.27452744812 465421.539047861 13929.9810179879 101458.850628246 1047363.02874042 12134.9520218326 9543.90078452372 27890.901989646 4607.76536476296 430933.520390492 460132.420359152 469757.937232617 5072.60412292164 1054781.66965139 3497.953992388 65078.6656544863 508033.873273225 510697.854291543 508238.37116167 6103.47505238154 939370.193666961 110520.337940033 123983.326992992 112571.622370149 129986.671323173 3777.1581080119 447637.299005732 27630.45264636 10164.5524084032 61935.7394414647 507640.606297943 161994.622718373 1070.42515389717 493216.785387939 485279.698828028 129302.211481951 488427.698947761 477223.809681459 39432.9792198368 22277.8900461338 500930.458913507
10 10 8 2006 122797.053254333 90174.9289184022 247963.534355179 77966.3134652688 1027021.57662877 127815.912470221 126271.155679199 430699.1665913 99531.9642782884 4101.26751287687 461339.980475654 16056.6826576997 149093.162183582 987218.59609844 24694.6320966706 10554.1352707725 20047.7740655138 3805.81008506238 448744.591037161 441233.507361911 502252.625234193 4664.40238189525 913844.087142666 2890.00624827513 78023.0080137901 536564.660761002 535701.550181341 539049.902764126 6126.6695779901 900178.782559687 111014.345933383 108213.498860334 96801.2071365152 103621.341475241 3965.16100734622 430699.1665913 24639.7088151039 10657.7807812185 70953.9208125729 469764.76104249 152472.657169486 1363.9334273219 470176.21518679 466642.302355187 104015.229917729 456048.203775894 472029.93170488 35491.7398142639 18391.7879693324 518661.896477772
11 10 15 2006 124987.646049512 87718.5590157721 225632.6744181 85380.9225339837 1217918.72116738 130174.71214236 128547.816198469 409371.739496033 101308.824829496 4014.67092362042 621060.861509029 21029.2079182821 160587.609439605 1201950.01662822 20788.3690640459 14132.4583397021 22414.6072844795 4052.57256449023 558587.847832298 419807.018801534 484546.090731201 4680.19487552042 1136966.92567209 2882.19474098661 81720.8905043671 517331.50761138 516742.134161327 519787.117638936 5729.37635575655 1153315.44414871 100133.027258643 104524.524828427 93778.1953597947 105180.679078723 3666.58939630631 409371.739496033 24045.9817671293 9991.92346261515 63558.06733963 702739.516387032 139465.679435012 1198.97378467136 677444.818130764 660866.244940283 105578.493226893 675625.477758919 633576.446145691 34563.6249223439 18236.663680868 495442.614972823
12 10 22 2006 149516.456046958 87017.5510122514 304741.843070366 106532.725852157 1250467.1363552 154431.602150263 153436.946436117 394865.838283146 121225.766433125 4115.30596227114 715195.776189898 27613.9074337113 206897.029280932 1222152.4771153 22969.6977974754 16906.0920079556 30044.9044562965 4785.64110636336 672115.790581085 404261.1136233 494874.562071518 4669.95644537055 1156325.34476711 2895.3517578025 98529.9089494378 524517.983762525 522563.753112971 530579.466012733 5786.04560302344 1183210.08439262 122780.644469073 103955.155449489 93073.7204835243 124999.996857686 3494.718629939 394865.838283146 23917.8460553002 10445.386552193 59903.8620618369 755454.544111848 171019.015130296 1112.2369065771 754092.494026112 746478.179507032 124044.880339122 734685.293015799 744386.02392396 34262.4206257281 18073.2462053349 480113.944185608
13 10 29 2006 131435.247296705 96136.5773189416 225843.436858716 87683.0051559883 1431720.533869 136489.435623791 135031.217186795 421094.962963518 107254.409710596 3936.49550603733 611264.63344946 22841.6600341442 161982.546363055 1375835.73383909 19376.3330401148 20095.8679712719 25317.4240227199 4668.13257592057 560409.236024774 430795.354945456 519902.691607255 4868.8660825061 1281816.66146638 3220.73252815771 79566.8699570447 556418.598504643 558505.978356461 562759.281192515 6295.6703424793 1238041.77897504 99265.5119800445 114300.762447152 101977.346212178 110716.527040911 3807.63823344648 421094.962963518 27674.3129389394 11614.7694168023 66890.8015106743 703339.987419166 137691.170155028 1119.65720445919 668501.214540223 652133.535242913 110932.000518686 670276.509237815 630538.068637636 40247.3118987326 18876.1542148032 506523.492032987
14 11 5 2006 173348.874200536 96963.6632360624 172874.354449422 107580.999755522 1372505.89450612 174305.941809837 171889.438431751 373569.917259623 131525.618417922 3734.31411398445 697563.851838715 37696.2754719373 189388.93059783 1343059.08381872 14812.476621429 34438.4003656309 43092.0836236605 8190.59749984607 635236.36053222 382516.578079435 532500.42952063 6142.17663918558 1244451.18031353 4236.19691331435 86549.4866448064 579566.270924796 585174.626953357 579440.444426046 7964.5306536244 1266692.14836227 67561.117266945 110164.878754562 98449.0177443803 138927.287166439 1455.55072959513 373569.917259623 25993.2821126753 19611.9039948516 80906.2121874345 786533.204210429 98230.5339424009 1136.51527083806 768281.362559811 745072.075734268 143961.550120389 758390.040438745 731220.790523826 36997.0761931968 23553.8600277674 481138.12971765
