"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1980-07-06 7 49 6 1980 0 294064505.26449 2257794.25247183 0 2897129.6542557 2267793.25247183 978570.345744297
1980-07-13 7 50 13 1980 0 322039647.754276 1567917.43695067 0 3053062.64991781 1577916.43695067 805537.350082187
1980-07-20 7 51 20 1980 0 126188773.113093 999760.291486597 0 1718140.17086073 1009759.2914866 2123359.82913927
1980-07-27 7 52 27 1980 0 67790442.2087336 0 0 1364370.18240525 9999 2460029.81759475
1980-08-03 8 1 3 1980 0 163175968.231911 2396158.59194382 0 1932150.61539212 2406157.59194382 0
1980-08-10 8 2 10 1980 0 160941326.056901 2174416.43390092 0 1758822.2317054 2184415.43390092 0
1980-08-17 8 3 17 1980 0 160828307.993957 2141151.47344547 0 1640447.93077266 2151150.47344547 0
1980-08-24 8 4 24 1980 0 110701656.088303 2133851.88874804 0 1263686.78948487 2143850.88874804 346713.210515133
1980-08-31 8 5 31 1980 40653.6550522148 62556322.1225906 2115176.1758311 358798.262824429 861685.737175571 2007587.53369663 484800
1980-09-07 9 6 7 1980 89137.752584092 39771700.2621545 2593678.49733185 481888.888505245 782227.111494755 2318858.6318142 181800
1980-09-14 9 7 14 1980 106112.562190962 39145986.8390931 2644538.14727441 565872.73196137 741875.26803863 2311432.49512478 181800
1980-09-21 9 8 21 1980 108740.054685632 38771818.866626 2573269.98331351 573703.653265935 777676.346734065 2227337.14993817 181800
1980-09-28 9 9 28 1980 119117.186825056 38698794.2194574 2685372.34789593 629046.543576809 765965.456423191 2305884.33814834 181800
1980-10-05 10 10 5 1980 147169.693597144 33598157.4425415 3555320.64259324 657861.454989992 772056.145010008 3103981.64914468 363600
1980-10-12 10 11 12 1980 155801.794702819 32739558.599904 3014884.7831859 696116.716285278 768706.483714722 2536073.59933538 363600
1980-10-19 10 12 19 1980 161803.866254311 31727882.0218814 2382201.93052361 722759.532730394 776969.267269606 1884141.96194459 363600
1980-10-26 10 13 26 1980 165286.90537545 30640026.4088067 1684765.06044274 741891.116146382 792743.283853618 1183635.25822859 363600
1980-11-02 11 14 2 1980 0 29578113.8495058 1080869.08899155 0 1911793.98655098 1090868.08899155 5806.01344901952
1980-11-09 11 15 9 1980 0 29941334.4274622 3517384.33786914 0 1792295.49617168 3527383.33786914 2990904.50382832
1980-11-16 11 16 16 1980 0 27830130.118229 1516250.03982109 0 1854662.6075417 1526249.03982109 2885337.3924583
1980-11-23 11 17 23 1980 0 26493247.6020267 291003.947470454 0 1795832.88017557 301002.947470454 2900967.11982443
1980-11-30 11 18 30 1980 0 26413638.8721752 217879.603767893 0 1782236.01493748 227878.603767893 2871363.98506252
1980-12-07 12 19 7 1980 0 26076519.904524 3473348.62189353 0 1851833.56816839 3483347.62189353 1453582.63183161
1980-12-14 12 20 14 1980 0 24386983.1509152 2261995.81413249 0 1829929.62961859 2271994.81413249 1555281.17038141
1980-12-21 12 21 21 1980 8207.55350645175 23256303.6565054 1062923.09192795 38111.3022518961 1618692.6977481 1051700.38328403 1824605.4
1980-12-28 12 22 28 1980 18624.622928244 23532467.155186 475015.881523278 89298.8137032557 1654769.18629674 438293.657229297 1454400
1981-01-04 1 23 4 1981 16319.597741515 28635769.7830944 5978496.0521676 83427.5661854765 1664034.03381452 5922412.8230351 727200
1981-01-11 1 24 11 1981 0 28127056.4462128 5591283.7189136 0 1792955.27763856 5601282.7189136 667764.722361439
1981-01-18 1 25 18 1981 0 27397565.1479936 5155258.64274318 0 1881692.73741832 5165257.64274318 582387.262581677
1981-01-25 1 26 25 1981 0 26786059.2341752 4870261.22308365 0 1828966.24276968 4880260.22308365 638473.757230319
1981-02-01 2 27 1 1981 0 25620122.0786934 4915929.41493283 0 1827963.64565898 4925928.41493283 642836.354341025
1981-02-08 2 28 8 1981 0 24846613.2322413 6060935.02940136 0 1764984.32186205 6070934.02940136 836015.678137945
1981-02-15 2 29 15 1981 0 24471873.9217589 6217013.90668579 0 1662470.30726326 6227012.90668579 826329.692736743
1981-02-22 2 30 22 1981 0 23987623.444593 6161128.24338399 0 1602684.32282702 6171127.24338399 773915.67717298
1981-03-01 3 31 1 1981 0 22061234.8355602 4840871.48132575 0 2264336.79385156 4850870.48132575 63.2061484409496
1981-03-08 3 32 8 1981 0 22026725.3581197 5801138.17536277 0 1761376.52592162 5811137.17536277 1494523.47407838
