"date" "month" "week" "day" "year" "shortfall_1" "shortfall_2" "shortfall_5" "shortfall_6" "shortfall_7" "shortfall_8" "shortfall_9" "shortfall_10" "shortfall_11" "NumOfLowFlowBonn" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "MaxSystemEnergy"
1980-01-27 1 26 27 1980 1037751.64929391 719280 0 0 0 0 0 0 73318.1855893714 139107.427930729 0 24526183.8747132 0 700748.11070609
1980-02-03 2 27 3 1980 978951.572837615 719280 0 0 0 0 0 0 67023.5792424059 0 0 26701668.9506835 0 762904.827162385
1980-02-10 2 28 10 1980 765426.778647812 959040 0 0 0 0 0 0 66233.6754727503 0 0 30251963.7473266 0 864341.821352188
1980-02-17 2 29 17 1980 631877.469300513 959040 0 0 0 0 0 0 56017.0218373726 0 0 31003116.574482 0 885803.330699487
1980-02-24 2 30 24 1980 573953.068126436 959040 0 0 0 0 0 0 53320.7818835107 0 0 29107397.6155747 0 831639.931873564
1980-03-02 3 31 2 1980 541606.044734918 959040 0 8659.92335877586 0 0 0 0 48952.8633247794 0 0 26316470.4342779 0 751899.155265082
1980-03-09 3 32 9 1980 250492.840748916 2037960 0 20498.5451945021 0 0 0 0 61432.0796581009 0 0 33033408.0737879 0 943811.659251084
1980-03-16 3 33 16 1980 466772.701841596 2037960 0 20321.3703604515 2995.72368056183 0 0 0 61664.3737377375 126965.443086615 0 21991588.4355441 0 628331.098158404
1980-03-23 3 34 23 1980 390438.244830845 2037960 0 22065.4818390601 524.212057550205 0 0 0 64062.0315105169 182129.833100763 0 21191269.9309204 0 605464.855169155
1980-03-30 3 35 30 1980 350377.477468077 2037960 0 27258.668855583 6067.40572623405 0 0 0 69243.360957169 357139.368486603 0 19121372.2886173 0 546324.922531923
1980-04-06 4 36 6 1980 353277.529481357 1918080 0 49131.6167815316 20110.1361888089 18544.8178103288 0 0 65670.3516956041 339700.041819031 0 16911480.9681525 0 483185.170518643
1980-04-13 4 37 13 1980 29174.3412970415 1918080 0 21096.3424617456 0 0 0 0 39258.8466743357 0 0 26146703.0546035 0 747048.658702958
1980-04-20 4 38 20 1980 0 1357664.79185621 0 0 0 0 0 0 594.745973210054 0 0 25084500 10255598.3090313 1277115.20814379
1980-04-27 4 39 27 1980 0 891341.161803573 0 0 0 0 0 0 0 0 0 22974000 18789320.7389946 1683138.83819643
1980-05-04 5 40 4 1980 0 848146.714200945 0 0 0 0 0 0 6011.37038027846 0 0 24662400 11932927.2014241 1414933.28579905
1980-05-11 5 41 11 1980 0 876294.810205255 0 0 0 0 0 0 14360.7779210306 0 0 26350800 11460039.1885517 1435025.18979475
1980-05-18 5 42 18 1980 0 924780.603877908 0 0 0 0 0 0 6806.53851353974 0 0 28039200 10645477.8548511 1434779.39612209
1980-05-25 5 43 25 1980 0 984078.384487332 0 0 0 0 0 0 16453.6002082595 0 0 29727600 9649275.14061282 1423721.61551267
1980-06-01 6 44 1 1980 0 911103.096384467 0 0 0 0 0 0 22434.5298786047 0 0 31416000 13594074.9759262 1544936.90361553
1980-06-08 6 45 8 1980 0 0 0 0 0 0 0 0 7299.23669929775 0 0 31111500 5040000 1642885.83598738
1980-06-15 6 46 15 1980 0 0 0 0 0 0 0 0 166.408404039525 0 0 30807000 5040000 1890797.55545821
1980-06-22 6 47 22 1980 0 0 0 0 0 0 0 0 10867.5080566661 0 0 30502500 5040000 1555873.17976698
1980-06-29 6 48 29 1980 0 0 0 0 0 0 0 0 38989.3779214419 0 0 30198000 5040000 1550738.28107899
1980-07-06 7 49 6 1980 0 2189383.45843845 0 0 0 0 0 0 55942.2741417027 0 0 29599500 23420879.705285 1653316.54156155
1980-07-13 7 50 13 1980 0 2126907.95934387 0 0 0 0 0 0 64191.5044277387 0 0 29001000 25232669.1790279 1698692.04065613
1980-07-20 7 51 20 1980 0 2606113.7616012 0 0 0 33033.0639164297 0 0 64004.0264492072 0 0 28402500 11335700.9135651 1202386.2383988
1980-07-27 7 52 27 1980 129030.425014856 2997000 0 0 0 111535.481700122 0 0 65202.3255437992 0 0 23260131.12448 0 664575.174985144
1980-08-03 8 1 3 1980 26766.3972073731 479520 0 7808.86781776481 0 86255.7331420132 0 0 74158.4629123729 0 0 29734474.0977419 0 849556.402792627
1980-08-10 8 2 10 1980 186290.870470277 479520 0 14853.8781456035 0 105021.656077999 0 0 82612.6027455431 0 0 27046219.5335403 0 772749.129529723
1980-08-17 8 3 17 1980 374270.924252288 479520 0 27462.064604386 0 101743.25736192 0 0 82518.7136501328 0 0 23362019.6511699 0 667486.275747712
1980-08-24 8 4 24 1980 499272.281925943 479520 0 30742.6397098782 0 104576.797838204 0 0 82882.4696068182 0 0 21882074.132592 0 625202.118074057
1980-08-31 8 5 31 1980 564853.511862203 479520 0 31993.9604598785 0 105168.138812984 0 0 83977.6519035546 0 0 22481833.0848229 0 642338.088137797
1980-09-07 9 6 7 1980 629437.822950002 179820 0 0 0 0 1.548188866092 0 84649.0760828139 0 0 21731870.1967499 0 620910.577049998
1980-09-14 9 7 14 1980 666227.049465391 179820 0 0 0 0 3.43602434482409 0 81414.216732245 0 0 21954735.2687113 0 627278.150534609
1980-09-21 9 8 21 1980 694801.861911952 179820 0 0 0 0 5.87935268593492 0 79947.4067667765 0 0 22465104.8330817 0 641860.138088048
1980-09-28 9 9 28 1980 714193.628036269 179820 0 0 0 0 8.13065859776407 0 83233.0393743582 0 0 23296881.0187306 0 665625.171963731
1980-10-05 10 10 5 1980 672523.152286211 359640 0 0 0 0 9.3270350229684 0 81370.9701631706 0 0 25963738.0699826 0 741821.087713789
1980-10-12 10 11 12 1980 682570.137401677 359640 0 0 0 0 11.1913501367126 0 80160.717722402 0 0 26820483.9909413 0 766299.542598323
1980-10-19 10 12 19 1980 704179.212718241 359640 0 0 0 0 14.6148071207228 0 79932.9952359687 0 0 27272556.7548616 0 779215.907281759
1980-10-26 10 13 26 1980 723881.859024387 359640 0 0 0 0 18.2689611757992 0 78408.0831781336 0 0 27791354.5341465 0 794038.700975613
1980-11-02 11 14 2 1980 1173883.07257388 359640 0 0 0 0 0 0 76492.2999014267 1214262.431165 0 13249702.4599143 0 378562.927426121
1980-11-09 11 15 9 1980 177222.362610346 3236760 0 0 0 0 0 0 71076.3905785366 0 0 46622339.3086379 0 1332066.83738965
1980-11-16 11 16 16 1980 593050.750197774 3236760 0 0 0 0 0 0 78043.927207043 0 0 30557857.7430779 0 873081.649802226
1980-11-23 11 17 23 1980 937096.500830042 3236760 0 0 0 0 0 0 76603.446761179 825863.446024316 0 17005768.4709485 0 485879.099169958
1980-11-30 11 18 30 1980 894007.050184865 3236760 0 0 0 0 0 0 73920.2072754886 837881.634506865 0 17003411.2435297 0 485811.749815136
1980-12-07 12 19 7 1980 368470.388968391 1817800.38 0 0 0 0 0 0 74294.792193574 0 0 38418170.3861063 0 1097662.01103161
1980-12-14 12 20 14 1980 436601.89195389 1811266.92 0 0 0 0 0 0 74808.8107043564 0 0 39054543.7816138 0 1115844.10804611
1980-12-21 12 21 21 1980 587617.127226297 1804733.46 0 0 0 0 0 0 59206.5345510595 0 0 36789986.5470796 0 1051142.4727737
1980-12-28 12 22 28 1980 824503.189056851 1438560 0 0 0 0 0 0 44666.8680929264 0 0 31519950.3830102 0 900570.010943149
1981-01-04 1 23 4 1981 653600.22380405 719280 0 0 0 0 0 0 45952.3937867978 0 0 37619036.5668583 0 1074829.61619595
1981-01-11 1 24 11 1981 812993.962929137 719280 0 0 0 0 0 0 70050.6393473998 0 0 32157738.0974802 0 918792.517070863
1981-01-18 1 25 18 1981 855079.91424039 719280 0 0 0 0 0 0 71360.4008001102 200441.617038429 0 30802212.2015864 0 880063.20575961
1981-01-25 1 26 25 1981 816911.01495606 719280 0 0 0 0 0 0 66512.2262081398 0 0 32255606.0765379 0 921588.74504394
1981-02-01 2 27 1 1981 857300.133730144 719280 0 0 0 0 0 0 74899.5987173129 0 0 30959469.3194449 0 884556.266269856
1981-02-08 2 28 8 1981 591414.404989587 959040 0 0 0 0 0 0 62516.1130248409 0 0 36342396.8253644 0 1038354.19501041
1981-02-15 2 29 15 1981 326236.23783097 959040 0 0 0 0 0 0 28608.8919614431 0 0 41700559.675916 0 1191444.56216903
1981-02-22 2 30 22 1981 308669.79479659 959040 0 0 0 0 0 0 43526.5720325641 0 0 38392312.1821193 0 1096923.20520341
1981-03-01 3 31 1 1981 136973.175534574 959040 0 6193.35266647278 0 0 0 0 57565.7450739093 0 0 40478620.8562899 0 1156532.02446543
1981-03-08 3 32 8 1981 0 1904114.38720086 0 11096.7880821519 0 0 0 0 63287.2893248657 0 0 41842500 3453216.81021783 1329345.61279914
1981-03-15 3 33 15 1981 0 1909933.21694656 0 18425.7263804149 0 0 0 0 63307.0043205545 0 0 38367000 3303091.00277881 1224226.78305344
1981-03-22 3 34 22 1981 0 1799585.77152426 0 11190.5473794235 0 0 0 0 56716.1955444475 0 0 34891500 6150055.09467403 1235274.22847574
1981-03-29 3 35 29 1981 0 1709761.09442549 0 6799.92802990093 0 0 0 0 53083.0647085092 0 0 31416000 8467531.76382224 1225798.90557451
1981-04-05 4 36 5 1981 0 1203482.76437873 0 40008.3285755607 0 0 0 0 56726.4816692837 0 0 29305500 13077129.4118693 1551897.23562127
1981-04-12 4 37 12 1981 0 1510268.31406078 0 27538.3079944783 0 0 0 0 51402.2839825655 0 0 27195000 7462953.85268774 1184811.68593922
1981-04-19 4 38 19 1981 0 1468397.01691232 0 19442.9063231334 0 0 0 0 42137.3848596411 0 0 25084500 8229198.59050462 1166382.98308768
1981-04-26 4 39 26 1981 0 1122566.11738975 0 0 0 0 0 0 28428.228876039 0 0 22974000 14557904.0517675 1451913.88261025
1981-05-03 5 40 3 1981 0 891434.002281823 0 0 0 0 0 0 27442.9686611668 0 0 24662400 11205700.7616654 1371645.99771818
1981-05-10 5 41 10 1981 0 1070967.98483993 0 22612.161068501 0 35821.5570688819 0 0 50460.5084953131 0 0 26350800 8189529.85468918 1240352.01516007
1981-05-17 5 42 17 1981 0 1073597.05254458 0 9945.7626298276 0 45797.6612650303 0 0 37995.661693073 0 0 28039200 8145361.51725098 1285962.94745542
