"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
1998-05-24 5 43 24 1998 41651.4 402758.241342857 69419 1388.38 2000 193246.315142857 732033.142142853 5553.52 390930.117742857 732743.7325 764743.077057143 992219.481314287 1009378.49264286 1666056 1669435.83531428 1929480.84042857 1998793.2495 2091748.638 2076729.79234285 2104561.86342857 168906.265341763 233449.29183169 758919.335057143 758919.335057143 910837.37871429 55535.2 2252832.31257143 2254421.07318572 2236909.02047143 2250503.73364286 4298197.48774286 4409535.68944286 4536991.57997143 4481073.55345714
1998-05-31 5 44 31 1998 41651.4 321308.9706 69419 37765.6031428576 447267.283842856 640973.103557142 1083792.0061 5553.52 344983.0021 668631.985514286 715213.812014286 877947.725371429 949537.15964286 1666056 1716620.63712857 2035320.85932857 2175822.04144286 2320196.94325714 2336453.47508572 2433556.30234286 191263.99213543 379742.868187777 577403.930742857 577403.930742857 640494.189942857 55535.2 1749016.68541428 1760623.96021428 1724237.19338571 1710963.80258571 4341522.45415714 4527429.26421429 4669612.4301 4704091.11394286
1998-06-07 6 45 7 1998 41651.4 320585.003528571 69419 104868.1179 516745.726544671 602905.741930387 997602.264273243 50940.5018326737 270669.466689817 462652.4446 495716.913314285 646438.128832674 664924.082546959 1484609.60802288 1507526.63690859 1734045.02446574 1849857.93770859 1987439.44988002 1990785.56618002 2047774.66726574 370893.229745242 534262.296365151 531324.3924 531324.3924 575720.433385714 55535.2 1526523.23127143 1530561.5791 1487075.96802857 1495934.15142857 3590754.7775086 3658795.78139431 3750545.21926574 3771002.74358002
1998-06-14 6 46 14 1998 41651.4 270587.639228572 69419 90339.1896857143 399583.939671076 476306.597999648 804896.001099648 56273.8828094803 365971.128195194 597899.4109 622427.018585714 769004.588595194 749223.428038051 1872657.94178002 1884975.29935145 2035992.84698002 2115401.12562288 2210581.96906573 2212392.87848002 2233429.57645145 292891.204272644 423895.637845832 372553.454957143 372553.454957143 413742.222642857 55535.2 1358078.90367143 1363454.11124286 1316366.51605715 1324687.1787 3590754.7775086 3644316.43996574 3726440.09099431 3747359.76415145
1998-06-21 6 47 21 1998 41651.4 273592.598442857 255893.405728564 102113.076085714 379523.077177422 434032.838977422 747710.503877422 80324.5146485414 315336.126862827 614060.7361 635238.260542858 778978.523705684 793888.278434256 2075021.61428002 2093325.08862288 2238576.68480859 2313565.78910859 2395790.59718002 2398400.84558002 2411005.80650859 299836.681015058 424754.963902202 324668.487728571 324668.487728571 355303.203942857 55535.2 1232072.93075715 1231227.97192858 1182559.55001429 1199549.96627143 3590754.7775086 3617593.1294086 3690735.6218086 3704080.41758003
1998-06-28 6 48 28 1998 41651.4 260156.562985715 330679.747771429 118805.971628571 481669.373384068 521047.231655496 797249.187384068 174502.105714023 402746.113414023 558055.436842857 574472.629857142 784923.371742595 801342.548228309 2233861.97322288 2258367.76272288 2390970.76160859 2458535.73235145 2527223.34792288 2527461.36449431 2541565.82982288 245459.379045568 304172.62903613 282269.802471429 282269.802471429 310242.700028571 55535.2 1109510.26424286 1115980.34804286 1066133.7441 1078689.11824286 3590754.7775086 3610873.1282086 3685751.1581086 3731612.98448002
1998-07-05 7 49 5 1998 619217.48 838990.081228571 1230571.77633633 1388.38 229711.423735706 264491.595235706 403443.120378564 98300.3333401176 267058.049425832 456009.798785715 470455.4212 602328.191940117 631318.610340117 2321807.52075061 2356212.81615061 2487280.60815061 2541034.66733633 2597791.7022649 2598477.98337919 2612594.34953633 260108.888300177 380449.833833983 271055.255014286 271055.255014286 296784.846385714 55535.2 925856.677728571 935545.935657143 885376.025871429 918934.378971429 3504886.74027919 3514960.7916649 3587040.14337919 3649055.3610649
1998-07-12 7 50 12 1998 508874.219901454 693222.02141574 948938.874230124 1388.38 456157.210485851 491548.291185851 617729.243800137 157220.462699762 279003.624942619 318376.716357143 330618.702014286 514665.815785476 544273.093799762 2465818.46859501 2499912.35898073 2594053.86339501 2639308.7475093 2680640.32513787 2685424.45822359 2699711.40292359 270472.281343287 342670.606253934 260011.2861 260011.2861 273014.924785714 110556.602817329 787217.880674472 795284.658974472 689777.974414286 732055.667914285 3453981.95083788 3471240.13573788 3543380.97506645 3604475.86200931
1998-07-19 7 51 19 1998 295051.558562996 465891.919648709 701547.549512287 1388.38 486318.874772634 509239.870601205 583367.582515491 133830.935968441 249760.665968441 243008.560957143 253677.653771429 405651.602897014 424669.126954156 2065269.56246891 2083057.33424034 2145217.34534034 2179945.9465832 2209626.61304034 2210919.83641177 2222271.24339748 192091.754296713 261898.570718485 251657.003489595 251657.003489595 257599.483889595 173409.642667548 694190 697790.000642857 528688.457918166 575377.391875309 2757152.09911565 2762098.8768585 2830169.63281565 2881434.4353585
1998-07-26 7 52 26 1998 138842.057242554 321680.436999697 221032.679956837 1388.38 147375.894085714 165711.103971429 257925.108371428 22706.7809142857 138636.510914286 219470.705514285 227817.153285714 265451.740171428 274887.113757143 731316.6335997 744014.81768541 791066.72691398 823008.5507997 846681.2822997 846469.05085684 852756.65528541 147950.241156169 196231.134938568 320000.310899594 320000.310899594 324689.237356737 151884.194857548 694190 691944.710342857 543944.152542452 586400.358471024 1354851.54415643 1355648.89967071 1419514.6961993 1467393.71301357
