"Week" "Month" "Day" "Year" "BRRunoffAprJul" "DARunoffAprAug" "DARunoffAprSep" "DARunoffJanJul" "DURunoffAprAug" "DWRunoffAprJul" "HHRunoffAprAug" "HHRunoffMaySep" "LBRunoffAprAug" "LGRunoffAprJul" "MIRunoffAprAug" "MIRunoffMayAug" "PayetteResidualInflowJanJun" "OwyheeResidualInflowJanMay" "BoiseResidualInflowJanJul" "HeiseResidualInflowJanJul" "HenryResidualInflowJanJun" "RirieResidualInflowJanJun" "PRResidualInflowJanMar" "GCResidualInflowJanMar" "RetWA" "RetPR" "RetMCN" "ARVariableRefillCurve" "DUVariableRefillCurve" "DWVariableRefillCurve" "GCVariableRefillCurve" "HHVariableRefillCurve" "LBVariableRefillCurve" "MIVariableRefillCurve" "AFMinRefillCurve" "ARMinRefillCurve" "BRMinRefillCurve" "CLMinRefillCurve" "DUMinRefillCurve" "DWMinRefillCurve" "GCMinRefillCurve" "HHMinRefillCurve" "LBMinRefillCurve" "MIMinRefillCurve" "KEMinRefillCurve" "AFOperatingRuleCurve" "AROperatingRuleCurve" "BROperatingRuleCurve" "CLOperatingRuleCurve" "DUOperatingRuleCurve" "DWOperatingRuleCurve" "GCOperatingRuleCurve" "HHOperatingRuleCurve" "LBOperatingRuleCurve" "MIOperatingRuleCurve" "KEOperatingRuleCurve" "FlowLimePoint" "FlowAF" "FlowAM" "FlowAR" "FlowBONF" "FlowBON" "FlowBD" "FlowBC" "FlowBR" "FlowCB" "FlowCH" "FlowCJ" "FlowCOL" "FlowCL" "FlowDA" "FlowDU" "FlowDW" "FlowKE" "FlowHH" "FlowGC" "FlowHC" "FlowIH" "FlowIP" "FlowJD" "FlowJL" "FlowLB" "FlowLIG" "FlowLG" "FlowLM" "FlowLUC" "FlowMCN" "FlowMI" "FlowMIL" "FlowMIN" "FlowNOX" "FlowOWY" "FlowOX" "FlowPAL" "FlowPAY" "FlowPEL" "FlowPR" "FlowREV" "FlowRIR" "FlowRI" "FlowRR" "FlowTF" "FlowWA" "FlowWE" "DemBoiseSys" "DemMinidoka" "DemOwyhee" "DemPayette" "DemUpSnake" "DemCJ" "DemDA" "DemJD" "DemMCN" "DemPR" "DemRR" "DemRI" "DemWA" "DemWE" "CurtCJ" "CurtDA" "CurtJD" "CurtMCN" "CurtPR" "CurtRR" "CurtRI" "CurtWA" "CurtWE" "IflowCJ" "IflowDA" "IflowJD" "IflowMCN" "IflowPR" "IflowRR" "IflowRI" "IflowWA" "IflowWE" "CorrectedDARunoffAprAug" "InitialControlledFlow" "start_refill_wk" "start_refill_wk_GC" "DACorrectedResidualInflowAprAug" "DamYear"
1 8 6 2006 12921789.3214294 119566481.754899 125859378.105671 134877861.199767 2044297.86440155 3851653.65321228 2493033.31141263 2344886.12153327 7980452.19291991 34892547.8475928 9126422.23008269 8845034.16564939 0 0 0 0 0 0 0 0 244.230857729516 607.86461876711 1742.2028278593 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 145200 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7116541 1392402 593600 1347699 2896389 9107400 2979346 5770433 19553612 1792000 289334.707723431 188262.422652669 -1397.31201143609 433734.35410135 139778.779436585 2143687.7679911 202253.279330875 205095.845701311 182678.347182716 162013.268632287 10358.2547307161 1107181.36245618 34192.5318282285 229515.502001966 2019592.43940604 32170.7625827671 14954.9227331811 68393.5339545108 9946.21080292606 938987.535696665 187065.311165734 326869.546121015 5800.27896312283 1856494.08434994 5418.38544606489 125874.378790574 368623.8940305 364487.888914273 381653.678493212 7010.90442577603 1728108.468087 283688.269898543 -18720.6743037596 -17251.0166073489 166121.013506609 1119.168344416 182678.347182716 36522.358855933 13447.4084659949 68148.1460518416 1309870.17521292 392856.554487842 1.96598715605001 1218962.3200643 1200874.05433063 168192.69523521 1250858.81327068 1166288.33607212 38600.1958533606 94507.3854000295 15356.8588281971 16360.736026727 101016.651360929 301.763300887029 2774.91957824603 24573.5816920267 67620.8681698086 2174.05184329521 3313.30356610143 2903.90545858191 621.569588708773 9638.8559063528 86.5290694970463 0 1690.49355352983 1753.87457181399 0 939.02017281462 611.700946734822 3.77359615550753 1290.92550519472 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 98361612.6824145 9999000 40 43 0 2007
2 8 13 2006 13535883.9478957 120081511.851446 124504458.757771 142065444.07948 1652312.1802437 3513404.51241248 2237632.381633 2003643.055246 8333665.83580268 35796936.1036349 11000663.6355518 10189006.9160258 0 0 0 0 0 0 0 0 244.230857729516 607.86461876711 1742.2028278593 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 145200 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7221921 1392402 638280 1386299 2782067 9107400 2960915 5671467 19814306 1792000 364084.562825075 164046.773236438 80361.250059684 355397.881052985 114218.958329108 1404569.08339959 175209.07408092 178281.374189805 294767.8885673 142099.60900518 9461.27349269443 881580.47344502 25237.2709026272 184382.18800797 1313644.44425958 21141.6899941088 12814.337082064 53958.848048392 8280.10719844049 763949.73549015 297476.251423735 355350.592718112 5977.88301599035 1194988.41100419 5091.65001279208 99468.9659816541 397510.115301104 398158.004859844 399804.379521159 6650.26951143304 1204464.39163986 250695.893354898 74284.3592499863 72589.8191570025 146811.601892267 -510.54424694957 294767.8885673 37838.5057962377 11817.0186173743 76569.4245359181 934244.454048873 345000.624101702 -739.160146673042 914202.502893177 914072.546389681 148244.60773563 911324.67955182 913161.167790349 18216.8799590582 84756.1650013718 4254.33168310325 9189.92263821749 40790.1842486792 345.829631883035 5330.92360170709 25734.0978607162 58182.7554110821 2609.13715156732 2940.95843326868 3202.52773156439 997.175738827014 12382.3091830213 193.690837628962 0 1635.71096784436 1733.03506224225 84.6215955297535 856.667912358433 927.84813063726 0 1419.67686242705 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 99422456.3764161 9999000 36 40 0 2007
3 8 20 2006 2764453.77817218 94329351.5944798 99018898.1641088 110880448.647772 2076031.18448759 1746920.8576401 1762388.58475721 1595742.11319817 8363213.16501848 14842855.1062972 13332069.2409925 12741465.2385843 0 0 0 0 0 0 0 0 244.230857729516 607.86461876711 1742.2028278593 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 227150.837645149 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7327300 1392402 682960 1424900 2667744 9107400 2942485 5572500 20075000 1792000 341015.747060591 164508.794293141 77944.3026406596 371576.585275778 124133.017096282 1232387.21592366 173286.288013125 177448.962329014 270932.979524501 151618.321095184 8983.02234667943 840141.801782556 35576.1217105973 210735.519317892 1159995.59786203 31226.4119013007 16037.8771157566 68168.9908533061 9238.78938066343 760784.741713439 274346.331211194 342768.330939687 5546.44878523677 1059422.30894548 4811.35375860882 110180.077436053 381303.374579804 384913.475818638 386985.964788262 6908.21772884237 1082400.6596752 248722.435662646 60147.1449667789 65453.1827054514 157946.17344122 370.68007335378 270932.979524501 29926.1284539365 10321.4306368864 70921.7697086868 829456.652797497 320281.855122988 -497.445416485864 834328.142159851 843347.842186771 161595.784134175 815466.283044362 869481.357669362 35714.517524217 83352.3522833604 14160.8292034733 16425.9109299474 21819.6770518678 286.48682147675 4095.81094006306 17524.6139481615 34681.2521031796 1397.99227914301 1122.51799566856 971.773596628791 378.022121014991 5760.92661946112 64.0878358000126 0 711.915812242037 511.884997598337 0 114.131267028541 101.717885900329 2.68450446600705 529.756517885474 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 74673729.3105653 9999000 40 43 0 2007
4 8 27 2006 4834998.77932124 91369547.9070541 96043841.2019171 100070989.471769 2112161.12899357 2766138.42036671 1829198.15402422 1697053.11960596 8685267.56307553 19804513.2161853 12198565.4012018 11600771.503237 0 0 0 0 0 0 0 0 244.230857729516 607.86461876711 1742.2028278593 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 549732.812259532 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7321562 1392402 711282 1423330 2553422 9107400 2924054 5473533 20073116 1792000 313711.718909814 172310.418186459 78321.2717449114 368680.776006083 114144.734862107 1240362.89355518 183539.024408575 186630.626583361 246118.139207743 148492.833712434 8638.052514382 893412.050683153 30133.3829554503 204200.217803929 1185632.82786804 41051.5201634172 13468.6978826106 59267.1997039811 8193.42898696985 782290.216547942 248140.364228871 313465.128670759 5378.31888570982 1105565.64813012 4633.14534931552 102250.418940545 348723.872227455 351165.666399519 352922.166934063 6933.99826954389 1144274.47261344 250619.270777186 64892.7626584886 64849.6517577436 152062.162813013 1921.57307422592 246118.139207743 33072.1599975951 11267.7730561534 57722.6473623683 926394.519142366 308892.899382179 -416.857506516828 914793.066853252 921662.876166225 152578.287204508 906549.497873828 929695.606094089 38502.8839270154 60991.4126706214 11523.5205094486 18963.6275227102 39727.1867664921 480.088679691458 5696.86415132964 10231.4030427738 32444.5979137545 1475.43393570252 1582.75602812029 3258.36713055294 617.632325613711 6848.38104469586 156.02800938071 65.1262475124411 551.127482937011 134.657018305318 0 193.318271800526 590.972578383538 3.77359615550753 940.611918859114 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 71669290.8615438 9999000 39 41 0 2007
5 9 3 2006 1747708.35348259 74210076.8456132 77289669.7648896 103630660.396061 1979924.06591381 1290528.99089762 1507205.08680373 1386429.93739531 7920402.36826875 12042037.8752052 13378014.2887112 12806191.1887327 0 0 0 0 0 0 0 0 244.230857729516 607.86461876711 1742.2028278593 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7315823 1392402 711282 1421759 2439100 9107400 2905623 5374567 20071231 1792000 476959.069778482 261458.795984242 64956.1548230929 1197079.44428632 238104.370578804 1409202.9251686 257975.518157297 270024.554709789 390556.514143639 253172.28576425 8775.29089488925 1587593.81365314 90518.9742654388 575544.520005123 1406452.5262512 172036.670079581 39264.0836991555 142407.495529156 15598.9808054149 1604882.23086315 401515.544463706 554025.053121881 5819.62566432636 1411217.43064999 4582.52685624656 206604.662554412 607405.73700271 614184.954946763 615630.176164707 8240.42711321471 1471987.83403767 424417.11819192 77215.5571799152 66591.4150356342 261389.903212989 2832.0516381787 390556.514143639 29355.2940477889 15093.042575152 77649.2914357818 1286894.07965104 518272.066394127 275.922453134832 1428402.34899098 1487882.71626545 263686.977742498 1303859.60148179 1661322.48564937 18566.2385105369 45128.0288040031 4720.54171608988 8997.60024116403 45824.5739396112 131.048980849463 1754.51705554525 2821.20286207903 22313.4045413744 1176.18157736907 1307.67380666169 961.862048405856 530.183134001682 1019.61929699502 0 0 250.922555701199 269.130660148792 75.2361514504341 324.491440350997 293.369569368905 0 346.36934348102 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 55024473.3265043 9999000 39 27 0 2007
6 9 10 2006 7708798.45836265 84117242.425644 88765529.9108467 94941260.575573 1639772.87884787 2678882.15368328 1536871.87642496 1395848.62713523 5698045.04004916 24018541.8554353 11344772.5309069 10669563.3382043 0 0 0 0 0 0 0 0 320.524482271579 896.803833113222 2154.71062600845 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1482126 7239906 1381394 737712 1410701 2387014 9107400 2887192 5275600 20040487 1792000 380042.449156679 180210.796345809 46344.691912776 332717.726684669 93982.6691420984 2343906.53491542 183472.527164432 187047.378235304 339763.003211191 141528.818188148 4841.04808720506 1147545.56803503 21034.3695571833 171524.049309848 2312014.12087709 25732.0790350362 11865.4415759075 38789.708819717 7384.37816718865 967205.043160868 355457.83898188 360125.600831439 5124.00839009988 2432952.05424674 3771.00307970911 83969.4095426481 395431.302795464 393720.519038669 402024.377185543 5644.94405780775 2075530.20875812 144296.531329617 63197.7056097046 57717.7737952084 145975.337474457 776.46114243791 339763.003211191 21041.8041686195 10122.6008716614 65847.8227596179 1525954.48124793 233727.008438869 596.009376699011 1368855.26185878 1311405.4264127 141475.250489977 1428347.31078789 1212775.22880681 7684.53123136057 69490.9739330305 1050.11870469942 3485.96197364586 42879.8567894334 162.470022341943 5381.34741232603 14133.8955134046 44118.4093252973 1833.49787250668 1044.31009683902 976.794350140843 725.131499746059 4207.25203417832 11.4294713388663 0 902.58358964646 577.249061049382 0 393.503458145321 148.174745925395 0 224.248904755671 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 67406711.8945006 9999000 38 41 0 2007
7 9 17 2006 1001615.29123215 66722644.0510718 72256463.3950193 73352318.5326901 1802387.9411509 1219130.51392532 1399378.59474497 1448215.9944154 5978169.94650016 9176537.69099031 10977877.9875746 10628946.962418 0 0 0 0 0 0 0 0 320.524482271579 896.803833113222 2154.71062600845 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1424251 7163989 1370386 764141 1399644 2334849 9107400 2868762 5176633 20009744 1792000 372423.38377143 145819.186256088 64451.7133280994 277598.735851192 85629.7976770538 1153385.12151192 143132.999406151 149204.058604357 333872.532787246 128671.204988434 5293.91445710526 538878.931078867 23212.3876005063 139704.104224614 1060453.69906456 31432.133747921 11011.4120084769 39113.73624617 7179.84620982781 507248.353866784 347480.691503533 330446.723926823 5200.79899657956 1073438.98552411 3674.53556015715 82600.5258289514 373955.768490786 377026.42207281 372734.051144071 5880.17116413736 870122.286726803 149409.897943702 66380.4250472074 69299.8866701217 135936.266375788 1755.64977167458 333872.532787246 22745.992445521 10273.7916989238 64954.2677275432 584932.053644985 223881.585850582 -104.30465418388 573500.463766361 567076.901791768 135137.662499572 562790.09569187 568218.539118442 5686.01794393853 60396.9225354582 5223.21503234447 6923.81081949516 23305.4673752374 167.74938794043 3344.02103252398 12119.7349481657 29511.3064963905 868.262758466565 945.139348265875 1911.4003617627 211.150261884735 3755.22310911937 59.9038983000549 0.534000221551598 629.161801520433 503.637574735501 0 142.184623345809 124.86692036662 0 543.576732720089 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 50670515.1099209 9999000 39 41 0 2007
8 9 24 2006 4487543.33730695 96429232.031748 101038686.564158 114454954.566509 2028665.63512398 2611792.57854517 1643621.43398731 1625239.35420739 7387275.50167226 19393483.7984744 13739365.2053132 13421226.096214 0 0 0 0 0 0 0 0 320.524482271579 896.803833113222 2154.71062600845 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1366377 7088071 1359377 790571 1388586 2282683 9107400 2801321 5077667 19979000 1792000 268179.886202631 130382.034246502 43076.7719449254 216312.526841117 72872.9328308314 822806.320629579 129285.492202472 134080.665718838 238558.779118648 112219.858008791 4154.07438522745 488614.261422411 15617.0106854144 115904.320000531 800064.265158375 18888.4393948637 9037.3290221199 30251.4934805615 5571.33255017834 444400.494785325 248853.149119934 220445.48914851 4952.02214039977 844287.294014412 3486.68307880308 70205.4655407792 261610.673557357 264539.969752563 260887.886465316 6257.05457780147 708185.63235691 127015.475358326 36612.3985238337 44607.8582901453 118505.32862975 -1426.62293596965 238558.779118648 22604.179654371 9914.68435112232 54739.3560626562 544304.185452746 190507.398542012 366.470413403453 523542.103587068 513961.35962658 117445.339959544 520163.029160976 505334.420419536 23545.7884356455 60270.0696788544 11927.1407119092 14228.3301757508 42682.3471166472 136.726564140111 3067.91570046206 7619.11985157792 30664.9800091657 863.783294558998 1604.88479910705 1173.11469994004 270.903950620161 4023.49007763821 45.7403778289476 0 350.20587482702 386.122223493349 0 215.411627991598 540.827695684683 3.77359615550753 660.851957908556 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 77974765.3332671 9999000 41 44 0 2007
9 10 1 2006 7344370.97691863 107643354.482132 114127714.674073 113576896.400197 1848375.80988494 2671327.18633145 2290219.18769418 2433206.94024538 8916025.99467164 23869895.5784051 12924296.3777628 12558256.6256798 0 0 0 0 0 0 0 0 320.524482271579 896.803833113222 2154.71062600845 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1308502 7012154 1348369 817000 1377528 2230518 9107400 2726227 5639913 19948256 1792000 299237.884635049 106062.534803591 40018.3913168407 160366.562906016 67066.9324278303 721054.884687167 105086.978535519 109267.255615361 254831.464297828 90039.4121493331 4127.96286020266 379961.735235574 13929.9810179879 100316.665273052 690513.441567481 12134.9520218326 9543.90078452372 27233.1040667456 4607.76536476296 345864.359282617 265395.567769561 253917.503963714 5072.60412292164 710294.981333971 3497.953992388 65060.5540781324 295806.100599268 298474.316751774 293637.240864109 5430.04072548063 604109.649607731 110520.337940033 51575.7267071293 45770.6107851916 96113.7707588861 2250.69855292571 254831.464297828 22833.5364342359 9984.92609000954 51071.3282947864 413972.256864958 161994.622718373 124.070247805955 401740.274154304 394484.388436772 95429.3109176641 396289.473823467 387435.068597616 13118.2738833334 34910.3806397149 3456.12987039561 8692.40504137281 46176.1142286127 390.642704412034 1498.48770884152 9226.14425818944 25751.7613573417 1530.1243086915 1001.25764016812 681.200842378584 661.713890658786 4328.93727155583 148.0429559458 33.1147908655156 488.568343922561 533.040112955059 81.9769387713379 238.789826805446 20.329555234619 2.69924477096573 324.465109515323 416514 1249542 1180123 833028 555352 485933 555352 555352 485933 87614716.5575415 9999000 40 44 0 2007
10 10 8 2006 7055524.16271114 100789918.891593 105350142.496086 141770662.337958 2009155.86718417 2411347.98502888 1698186.80582531 1648603.4073872 7319695.12012595 22911853.5823647 14443368.5393959 13889554.7091742 0 0 0 0 0 0 0 0 241.925937994974 793.80095073339 1717.11654491912 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1199292 6937496 1350789 817000 1361264 2230875 9107400 2735008 5647133 19891132 1792000 340880.636733604 95477.5003416489 33601.6491928542 247959.247522333 77756.0522916324 727802.78013981 100492.890307801 98951.6027665149 264097.134439943 72552.5055913834 4101.26751287687 405877.448237497 16056.6826576997 148380.242117524 691191.573280136 24694.6320966706 10554.1352707725 18718.8349179024 3805.81008506238 393364.192993604 274540.769764167 311018.08260372 4664.40238189525 626027.743498704 2890.00624827513 77872.6943257365 346760.354985645 345987.279261452 348149.576084838 5453.23525108919 623442.665916644 111014.345933383 42136.5063786699 35306.0476125269 76641.882788336 1333.66610710202 264097.134439943 22260.4459249992 10407.1658877352 66467.1165016412 408592.579615995 152472.657169486 69.85124270133 410261.814551142 408011.804161429 77035.771230824 395930.466561032 413609.395890628 18277.2595792047 40315.2023983901 2265.93977427396 5126.54182983328 47820.5318957541 82.1341946002139 3723.87486341033 11080.2270009185 24329.3925860755 1054.44421163308 209.96237950676 1283.90244188968 203.336579213916 2958.00357609458 10.8192303832601 31.4132674996498 775.772916168881 279.554174006473 0 26.971090964464 264.329346085239 0 677.58735932096 416514 1249542 1180123 833028 555352 485933 555352 555352 485933 82404361.7838441 9999000 32 NA 0 2007
