WRIA_NR,WRIA_NM,Year,Month,Total CU(MG) 
55,Little Spokane,2040,April,184 
55,Little Spokane,2040,May,341 
55,Little Spokane,2040,June,408 
55,Little Spokane,2040,July,427 
55,Little Spokane,2040,August,413 
55,Little Spokane,2040,September,366 
55,Little Spokane,2040,October,220 
55,Little Spokane,2040,November,133 
55,Little Spokane,2040,December,121 
56,Hangman,2020,January,162 
56,Hangman,2020,Febuary,148 
56,Hangman,2020,March,162 
56,Hangman,2020,April,208 
56,Hangman,2020,May,375 
56,Hangman,2020,June,446 
56,Hangman,2020,July,463 
56,Hangman,2020,August,448 
56,Hangman,2020,September,400 
56,Hangman,2020,October,245 
56,Hangman,2020,November,156 
56,Hangman,2020,December,140 
56,Hangman,2030,January,173 
56,Hangman,2030,Febuary,159 
56,Hangman,2030,March,174 
56,Hangman,2030,April,217 
56,Hangman,2030,May,404 
56,Hangman,2030,June,481 
56,Hangman,2030,July,499 
56,Hangman,2030,August,482 
56,Hangman,2030,September,431 
56,Hangman,2030,October,263 
56,Hangman,2030,November,164 
56,Hangman,2030,December,150 
56,Hangman,2040,January,188 
56,Hangman,2040,Febuary,172 
56,Hangman,2040,March,188 
56,Hangman,2040,April,242 
56,Hangman,2040,May,438 
56,Hangman,2040,June,521 
56,Hangman,2040,July,540 
56,Hangman,2040,August,522 
56,Hangman,2040,September,466 
56,Hangman,2040,October,285 
56,Hangman,2040,November,178 
56,Hangman,2040,December,163 
57,Middle Spokane,2020,January,204 
57,Middle Spokane,2020,Febuary,187 
57,Middle Spokane,2020,March,205 
57,Middle Spokane,2020,April,251 
57,Middle Spokane,2020,May,427 
57,Middle Spokane,2020,June,502 
57,Middle Spokane,2020,July,520 
57,Middle Spokane,2020,August,503 
57,Middle Spokane,2020,September,453 
57,Middle Spokane,2020,October,290 
57,Middle Spokane,2020,November,196 
57,Middle Spokane,2020,December,177 
57,Middle Spokane,2030,January,216 
57,Middle Spokane,2030,Febuary,198 
57,Middle Spokane,2030,March,216 
57,Middle Spokane,2030,April,261 
57,Middle Spokane,2030,May,453 
57,Middle Spokane,2030,June,532 
57,Middle Spokane,2030,July,551 
57,Middle Spokane,2030,August,533 
57,Middle Spokane,2030,September,480 
57,Middle Spokane,2030,October,307 
57,Middle Spokane,2030,November,201 
57,Middle Spokane,2030,December,187 
57,Middle Spokane,2040,January,232 
57,Middle Spokane,2040,Febuary,212 
57,Middle Spokane,2040,March,232 
57,Middle Spokane,2040,April,284 
57,Middle Spokane,2040,May,485 
57,Middle Spokane,2040,June,571 
57,Middle Spokane,2040,July,591 
57,Middle Spokane,2040,August,572 
57,Middle Spokane,2040,September,514 
57,Middle Spokane,2040,October,329 
57,Middle Spokane,2040,November,216 
57,Middle Spokane,2040,December,201 
58,Middle Lake Roosevelt,2020,January,2 
58,Middle Lake Roosevelt,2020,Febuary,2 
58,Middle Lake Roosevelt,2020,March,3 
58,Middle Lake Roosevelt,2020,April,6 
58,Middle Lake Roosevelt,2020,May,12 
58,Middle Lake Roosevelt,2020,June,18 
58,Middle Lake Roosevelt,2020,July,25 
58,Middle Lake Roosevelt,2020,August,26 
58,Middle Lake Roosevelt,2020,September,19 
58,Middle Lake Roosevelt,2020,October,9 
58,Middle Lake Roosevelt,2020,November,2 
58,Middle Lake Roosevelt,2020,December,2 
58,Middle Lake Roosevelt,2030,January,2 
58,Middle Lake Roosevelt,2030,Febuary,2 
58,Middle Lake Roosevelt,2030,March,3 
58,Middle Lake Roosevelt,2030,April,4 
58,Middle Lake Roosevelt,2030,May,13 
58,Middle Lake Roosevelt,2030,June,18 
58,Middle Lake Roosevelt,2030,July,26 
58,Middle Lake Roosevelt,2030,August,27 
58,Middle Lake Roosevelt,2030,September,20 
58,Middle Lake Roosevelt,2030,October,10 
58,Middle Lake Roosevelt,2030,November,2 
58,Middle Lake Roosevelt,2030,December,2 
58,Middle Lake Roosevelt,2040,January,2 
58,Middle Lake Roosevelt,2040,Febuary,2 
58,Middle Lake Roosevelt,2040,March,3 
58,Middle Lake Roosevelt,2040,April,6 
58,Middle Lake Roosevelt,2040,May,13 
58,Middle Lake Roosevelt,2040,June,19 
58,Middle Lake Roosevelt,2040,July,27 
58,Middle Lake Roosevelt,2040,August,28 
58,Middle Lake Roosevelt,2040,September,20 
58,Middle Lake Roosevelt,2040,October,10 
58,Middle Lake Roosevelt,2040,November,3 
58,Middle Lake Roosevelt,2040,December,2 
59,Colville,2020,January,56 
59,Colville,2020,Febuary,43 
59,Colville,2020,March,54 
59,Colville,2020,April,66 
59,Colville,2020,May,100 
59,Colville,2020,June,129 
59,Colville,2020,July,166 
59,Colville,2020,August,175 
59,Colville,2020,September,146 
59,Colville,2020,October,89 
59,Colville,2020,November,51 
59,Colville,2020,December,53 
59,Colville,2030,January,56 
59,Colville,2030,Febuary,43 
59,Colville,2030,March,54 
59,Colville,2030,April,63 
59,Colville,2030,May,102 
59,Colville,2030,June,133 
59,Colville,2030,July,170 
59,Colville,2030,August,180 
59,Colville,2030,September,149 
59,Colville,2030,October,90 
59,Colville,2030,November,54 
59,Colville,2030,December,53 
59,Colville,2040,January,57 
59,Colville,2040,Febuary,44 
59,Colville,2040,March,55 
59,Colville,2040,April,68 
59,Colville,2040,May,105 
59,Colville,2040,June,137 
59,Colville,2040,July,175 
59,Colville,2040,August,185 
59,Colville,2040,September,152 
59,Colville,2040,October,92 
59,Colville,2040,November,55 
59,Colville,2040,December,54 
60,Kettle,2020,January,1 
60,Kettle,2020,Febuary,1 
60,Kettle,2020,March,2 
60,Kettle,2020,April,4 
60,Kettle,2020,May,9 
60,Kettle,2020,June,13 
60,Kettle,2020,July,18 
60,Kettle,2020,August,19 
60,Kettle,2020,September,15 
60,Kettle,2020,October,8 
60,Kettle,2020,November,2 
60,Kettle,2020,December,1 
60,Kettle,2030,January,1 
60,Kettle,2030,Febuary,1 
60,Kettle,2030,March,2 
60,Kettle,2030,April,3 
60,Kettle,2030,May,9 
60,Kettle,2030,June,13 
60,Kettle,2030,July,19 
60,Kettle,2030,August,20 
60,Kettle,2030,September,15 
60,Kettle,2030,October,8 
60,Kettle,2030,November,2 
60,Kettle,2030,December,1 
60,Kettle,2040,January,1 
60,Kettle,2040,Febuary,1 
60,Kettle,2040,March,2 
60,Kettle,2040,April,4 
60,Kettle,2040,May,9 
60,Kettle,2040,June,14 
60,Kettle,2040,July,19 
60,Kettle,2040,August,20 
60,Kettle,2040,September,15 
60,Kettle,2040,October,8 
60,Kettle,2040,November,2 
60,Kettle,2040,December,1 
61,Upper Lake Roosevelt,2020,January,12 
61,Upper Lake Roosevelt,2020,Febuary,7 
61,Upper Lake Roosevelt,2020,March,11 
61,Upper Lake Roosevelt,2020,April,14 
61,Upper Lake Roosevelt,2020,May,23 
61,Upper Lake Roosevelt,2020,June,31 
61,Upper Lake Roosevelt,2020,July,43 
61,Upper Lake Roosevelt,2020,August,45 
61,Upper Lake Roosevelt,2020,September,41 
61,Upper Lake Roosevelt,2020,October,23 
61,Upper Lake Roosevelt,2020,November,10 
61,Upper Lake Roosevelt,2020,December,11 
61,Upper Lake Roosevelt,2030,January,12 
61,Upper Lake Roosevelt,2030,Febuary,7 
61,Upper Lake Roosevelt,2030,March,11 
61,Upper Lake Roosevelt,2030,April,13 
61,Upper Lake Roosevelt,2030,May,24 
61,Upper Lake Roosevelt,2030,June,32 
61,Upper Lake Roosevelt,2030,July,45 
61,Upper Lake Roosevelt,2030,August,47 
61,Upper Lake Roosevelt,2030,September,42 
61,Upper Lake Roosevelt,2030,October,23 
61,Upper Lake Roosevelt,2030,November,11 
61,Upper Lake Roosevelt,2030,December,11 
61,Upper Lake Roosevelt,2040,January,12 
61,Upper Lake Roosevelt,2040,Febuary,7 
61,Upper Lake Roosevelt,2040,March,11 
61,Upper Lake Roosevelt,2040,April,15 
61,Upper Lake Roosevelt,2040,May,25 
61,Upper Lake Roosevelt,2040,June,33 
61,Upper Lake Roosevelt,2040,July,46 
61,Upper Lake Roosevelt,2040,August,48 
61,Upper Lake Roosevelt,2040,September,43 
61,Upper Lake Roosevelt,2040,October,24 
61,Upper Lake Roosevelt,2040,November,11 
61,Upper Lake Roosevelt,2040,December,11 
62,Pend Oreille,2020,January,7 
62,Pend Oreille,2020,Febuary,6 
62,Pend Oreille,2020,March,8 
62,Pend Oreille,2020,April,12 
62,Pend Oreille,2020,May,21 
62,Pend Oreille,2020,June,29 
62,Pend Oreille,2020,July,39 
62,Pend Oreille,2020,August,40 
62,Pend Oreille,2020,September,30 
62,Pend Oreille,2020,October,17 
62,Pend Oreille,2020,November,7 
62,Pend Oreille,2020,December,7 
62,Pend Oreille,2030,January,7 
62,Pend Oreille,2030,Febuary,7 
62,Pend Oreille,2030,March,8 
62,Pend Oreille,2030,April,11 
62,Pend Oreille,2030,May,22 
62,Pend Oreille,2030,June,30 
62,Pend Oreille,2030,July,41 
62,Pend Oreille,2030,August,43 
62,Pend Oreille,2030,September,32 
62,Pend Oreille,2030,October,18 
62,Pend Oreille,2030,November,8 
62,Pend Oreille,2030,December,7 
62,Pend Oreille,2040,January,8 
62,Pend Oreille,2040,Febuary,7 
62,Pend Oreille,2040,March,9 
62,Pend Oreille,2040,April,13 
62,Pend Oreille,2040,May,23 
62,Pend Oreille,2040,June,31 
62,Pend Oreille,2040,July,42 
62,Pend Oreille,2040,August,43 
62,Pend Oreille,2040,September,33 
62,Pend Oreille,2040,October,18 
62,Pend Oreille,2040,November,8 
62,Pend Oreille,2040,December,7 
