Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
45 6 9 2080 2080 392471 390555 0 0 1540000 1540000 390555 27057
46 6 16 2080 2080 417612 497464 0 0 1540000 1540000 417612 25141
47 6 23 2080 2080 442753 604373 0 0 1540000 1540000 442753 25141
48 6 30 2080 2080 467894 711282 0 0 1540000 1540000 467894 25141
49 7 7 2080 2080 493035 711282 0 0 1540000 1540000 493035 25141
50 7 14 2080 2080 518176 711282 0 0 1540000 1540000 518176 25142
51 7 21 2080 2080 543318 711282 0 0 1540000 1540000 543318 25141
52 7 28 2080 2080 568459 711282 0 0 1540000 1540000 568459 25141
1 8 4 2080 2081 593600 711282 0 0 1540000 1540000 593600 44680
2 8 11 2080 2081 638280 711282 0 0 1540000 1540000 638280 44680
3 8 18 2080 2081 682960 711282 0 0 1540000 1540000 682960 28322
4 8 25 2080 2081 727640 711282 0 0 1540000 1540000 711282 0
5 9 1 2080 2081 772320 711282 0 0 1540000 1540000 711282 26430
6 9 8 2080 2081 817000 737712 0 0 1540000 1540000 737712 26429
7 9 15 2080 2081 817000 764141 0 0 1540000 1540000 764141 26430
8 9 22 2080 2081 817000 790571 0 0 1540000 1540000 790571 26429
9 9 29 2080 2081 817000 817000 0 0 1540000 1540000 817000 0
10 10 6 2080 2081 817000 817000 0 0 1540000 1540000 817000 0
11 10 13 2080 2081 817000 817000 0 0 1540000 1540000 817000 0
12 10 20 2080 2081 817000 817000 0 0 1540000 1540000 817000 0
13 10 27 2080 2081 817000 817000 0 0 1540000 1540000 817000 0
14 11 3 2080 2081 817000 817000 0 0 1540000 1540000 817000 0
15 11 10 2080 2081 817000 817000 0 0 1540000 1540000 817000 0
16 11 17 2080 2081 817000 817000 0 0 1540000 1540000 817000 0
17 11 24 2080 2081 817000 817000 0 0 1540000 1540000 817000 0
18 12 1 2080 2081 817000 817000 0 0 1540000 1540000 817000 0
19 12 8 2080 2081 817000 817000 0 0 1540000 1540000 817000 0
20 12 15 2080 2081 817000 817000 0 0 1540000 1540000 817000 0
21 12 22 2080 2081 817000 817000 0 0 1540000 1540000 817000 0
22 12 29 2080 2081 817000 817000 0 0 1540000 1540000 817000 -6307
23 1 5 2081 2081 816730 810693 0 0 1540000 1540000 810693 -6307
24 1 12 2081 2081 816730 804386 0 0 1540000 1540000 804386 -25201
25 1 19 2081 2081 779185 798078 0 0 1540000 1540000 779185 -37544
26 1 26 2081 2081 741641 791771 0 0 1540000 1540000 741641 -37545
27 2 2 2081 2081 704096 785464 0 0 1540000 1540000 704096 -34096
28 2 9 2081 2081 670000 741828 0 0 1540000 1540000 670000 -43625
29 2 16 2081 2081 626375 698192 0 0 1540000 1540000 626375 -43625
30 2 23 2081 2081 582750 654555 0 0 1540000 1540000 582750 -43625
31 3 2 2081 2081 539125 610919 0 0 1540000 1540000 539125 -43625
32 3 9 2081 2081 495500 529101 0 0 1540000 1540000 495500 -82325
33 3 16 2081 2081 413175 447283 0 0 1540000 1540000 413175 -82325
34 3 23 2081 2081 330850 365464 0 0 1540000 1540000 330850 -82325
35 3 30 2081 2081 248525 283646 0 0 1540000 1540000 248525 -82325
36 4 6 2081 2081 166200 283646 0 0 1540000 1540000 166200 25141
37 4 13 2081 2081 191341 283646 0 0 1540000 1540000 191341 25141
38 4 20 2081 2081 216482 283646 0 0 1540000 1540000 216482 25142
39 4 27 2081 2081 241624 283646 0 0 1540000 1540000 241624 25141
40 5 4 2081 2081 266765 283646 0 0 1540000 1540000 266765 16881
41 5 11 2081 2081 291906 283646 0 0 1540000 1540000 283646 0
42 5 18 2081 2081 317047 283646 0 0 1540000 1540000 283646 0
43 5 25 2081 2081 342188 283646 0 0 1540000 1540000 283646 0
44 6 1 2081 2081 367329 283646 0 0 1540000 1540000 283646 106909
45 6 8 2081 2081 392471 390555 0 0 1540000 1540000 390555 27057
46 6 15 2081 2081 417612 497464 0 0 1540000 1540000 417612 25141
47 6 22 2081 2081 442753 604373 0 0 1540000 1540000 442753 25141
48 6 29 2081 2081 467894 711282 0 0 1540000 1540000 467894 25141
49 7 6 2081 2081 493035 711282 0 0 1540000 1540000 493035 25141
50 7 13 2081 2081 518176 711282 0 0 1540000 1540000 518176 25142
51 7 20 2081 2081 543318 711282 0 0 1540000 1540000 543318 25141
52 7 27 2081 2081 568459 711282 0 0 1540000 1540000 568459 25141
1 8 3 2081 2082 593600 711282 0 0 1540000 1540000 593600 44680
2 8 10 2081 2082 638280 711282 0 0 1540000 1540000 638280 44680
3 8 17 2081 2082 682960 711282 0 0 1540000 1540000 682960 28322
4 8 24 2081 2082 727640 711282 0 0 1540000 1540000 711282 0
5 8 31 2081 2082 772320 711282 0 0 1540000 1540000 711282 26430
6 9 7 2081 2082 817000 737712 0 0 1540000 1540000 737712 26429
7 9 14 2081 2082 817000 764141 0 0 1540000 1540000 764141 26430
8 9 21 2081 2082 817000 790571 0 0 1540000 1540000 790571 26429
9 9 28 2081 2082 817000 817000 0 0 1540000 1540000 817000 0
10 10 5 2081 2082 817000 817000 0 0 1540000 1540000 817000 0
11 10 12 2081 2082 817000 817000 0 0 1540000 1540000 817000 0
12 10 19 2081 2082 817000 817000 0 0 1540000 1540000 817000 0
13 10 26 2081 2082 817000 817000 0 0 1540000 1540000 817000 0
14 11 2 2081 2082 817000 817000 0 0 1540000 1540000 817000 0
15 11 9 2081 2082 817000 817000 0 0 1540000 1540000 817000 0
16 11 16 2081 2082 817000 817000 0 0 1540000 1540000 817000 0
17 11 23 2081 2082 817000 817000 0 0 1540000 1540000 817000 0
18 11 30 2081 2082 817000 817000 0 0 1540000 1540000 817000 0
19 12 7 2081 2082 817000 817000 0 0 1540000 1540000 817000 0
20 12 14 2081 2082 817000 817000 0 0 1540000 1540000 817000 0
21 12 21 2081 2082 817000 817000 0 0 1540000 1540000 817000 0
22 12 28 2081 2082 817000 817000 0 0 1540000 1540000 817000 -6307
23 1 4 2082 2082 816730 810693 0 0 1540000 1540000 810693 -6307
24 1 11 2082 2082 816730 804386 0 0 1540000 1540000 804386 -25201
25 1 18 2082 2082 779185 798078 0 0 1540000 1540000 779185 -37544
26 1 25 2082 2082 741641 791771 0 0 1540000 1540000 741641 -37545
27 2 1 2082 2082 704096 785464 0 0 1540000 1540000 704096 -34096
28 2 8 2082 2082 670000 741828 0 0 1540000 1540000 670000 -43625
29 2 15 2082 2082 626375 698192 0 0 1540000 1540000 626375 -43625
30 2 22 2082 2082 582750 654555 0 0 1540000 1540000 582750 -43625
31 3 1 2082 2082 539125 610919 0 0 1540000 1540000 539125 -43625
32 3 8 2082 2082 495500 529101 0 0 1540000 1540000 495500 -82325
33 3 15 2082 2082 413175 447283 0 0 1540000 1540000 413175 -82325
34 3 22 2082 2082 330850 365464 0 0 1540000 1540000 330850 -82325
35 3 29 2082 2082 248525 283646 0 0 1540000 1540000 248525 -82325
36 4 5 2082 2082 166200 283646 0 0 1540000 1540000 166200 25141
37 4 12 2082 2082 191341 283646 0 0 1540000 1540000 191341 25141
38 4 19 2082 2082 216482 283646 0 0 1540000 1540000 216482 25142
39 4 26 2082 2082 241624 283646 0 0 1540000 1540000 241624 25141
40 5 3 2082 2082 266765 283646 0 0 1540000 1540000 266765 16881
41 5 10 2082 2082 291906 283646 0 0 1540000 1540000 283646 0
42 5 17 2082 2082 317047 283646 0 0 1540000 1540000 283646 0
43 5 24 2082 2082 342188 283646 0 0 1540000 1540000 283646 0
44 5 31 2082 2082 367329 283646 0 0 1540000 1540000 283646 106909
45 6 7 2082 2082 392471 390555 0 0 1540000 1540000 390555 27057
46 6 14 2082 2082 417612 497464 0 0 1540000 1540000 417612 25141
47 6 21 2082 2082 442753 604373 0 0 1540000 1540000 442753 25141
48 6 28 2082 2082 467894 711282 0 0 1540000 1540000 467894 25141
49 7 5 2082 2082 493035 711282 0 0 1540000 1540000 493035 25141
50 7 12 2082 2082 518176 711282 0 0 1540000 1540000 518176 25142
51 7 19 2082 2082 543318 711282 0 0 1540000 1540000 543318 25141
52 7 26 2082 2082 568459 711282 0 0 1540000 1540000 568459 25141
1 8 2 2082 2083 593600 711282 0 0 1540000 1540000 593600 44680
2 8 9 2082 2083 638280 711282 0 0 1540000 1540000 638280 44680
3 8 16 2082 2083 682960 711282 0 0 1540000 1540000 682960 28322
4 8 23 2082 2083 727640 711282 0 0 1540000 1540000 711282 0
5 8 30 2082 2083 772320 711282 0 0 1540000 1540000 711282 26430
6 9 6 2082 2083 817000 737712 0 0 1540000 1540000 737712 26429
7 9 13 2082 2083 817000 764141 0 0 1540000 1540000 764141 26430
8 9 20 2082 2083 817000 790571 0 0 1540000 1540000 790571 26429
9 9 27 2082 2083 817000 817000 0 0 1540000 1540000 817000 0
10 10 4 2082 2083 817000 817000 0 0 1540000 1540000 817000 0
11 10 11 2082 2083 817000 817000 0 0 1540000 1540000 817000 0
12 10 18 2082 2083 817000 817000 0 0 1540000 1540000 817000 0
13 10 25 2082 2083 817000 817000 0 0 1540000 1540000 817000 0
14 11 1 2082 2083 817000 817000 0 0 1540000 1540000 817000 0
15 11 8 2082 2083 817000 817000 0 0 1540000 1540000 817000 0
16 11 15 2082 2083 817000 817000 0 0 1540000 1540000 817000 0
17 11 22 2082 2083 817000 817000 0 0 1540000 1540000 817000 0
18 11 29 2082 2083 817000 817000 0 0 1540000 1540000 817000 0
