CellID GWFraction ReturnFlowFraction NumCrops Long Lat Area StnName StnID
256318 0.35 0 5 -113.15625 42.28125 35.6974705904447 MINAD 51
256319 0.35 0 5 -113.09375 42.28125 35.6974705904447 MINAD 51
257164 0.35 0 2 -118.28125 42.34375 35.6620400635214 OWYHE 65
257165 0.35 0 2 -118.21875 42.34375 35.6620400635214 OWYHE 65
257217 0.35 0 2 -114.96875 42.34375 35.6620400635214 SNKHI 64
257218 0.35 0 8 -114.90625 42.34375 35.6620400635214 SNKHI 64
257222 0.35 0 7 -114.65625 42.34375 35.6620400635214 SNKHI 64
257223 0.35 0 5 -114.59375 42.34375 35.6620400635214 SNKHI 64
257224 0.35 0 6 -114.53125 42.34375 35.6620400635214 SNKHI 64
257225 0.35 0 5 -114.46875 42.34375 35.6620400635214 SNKHI 64
257231 0.35 0 3 -114.09375 42.34375 35.6620400635214 SNKHI 64
257232 0.35 0 6 -114.03125 42.34375 35.6620400635214 SNKHI 64
257233 0.35 0 8 -113.96875 42.34375 35.6620400635214 MILNE 63
257234 0.35 0 10 -113.90625 42.34375 35.6620400635214 MILNE 63
257235 0.35 0 11 -113.84375 42.34375 35.6620400635214 MILNE 63
257236 0.35 0 9 -113.78125 42.34375 35.6620400635214 MILNE 63
257237 0.35 0 4 -113.71875 42.34375 35.6620400635214 MILNE 63
257240 0.35 0 3 -113.53125 42.34375 35.6620400635214 MILNE 63
257242 0.35 0 2 -113.40625 42.34375 35.6620400635214 MINAD 51
257243 0.35 0 7 -113.34375 42.34375 35.6620400635214 MINAD 51
257244 0.35 0 4 -113.28125 42.34375 35.6620400635214 MINAD 51
257245 0.35 0 4 -113.21875 42.34375 35.6620400635214 MINAD 51
257246 0.35 0 7 -113.15625 42.34375 35.6620400635214 MINAD 51
258087 0.35 0 2 -118.59375 42.40625 35.6265671019202 OWYHE 65
258146 0.35 0 6 -114.90625 42.40625 35.6265671019202 SNKHI 64
258151 0.35 0 6 -114.59375 42.40625 35.6265671019202 SNKHI 64
258152 0.35 0 5 -114.53125 42.40625 35.6265671019202 SNKHI 64
258153 0.35 0 5 -114.46875 42.40625 35.6265671019202 SNKHI 64
258154 0.35 0 4 -114.40625 42.40625 35.6265671019202 SNKHI 64
258155 0.35 0 6 -114.34375 42.40625 35.6265671019202 SNKHI 64
258156 0.35 0 8 -114.28125 42.40625 35.6265671019202 SNKHI 64
