Long Lat CellID StnID WRIA_ID StnNum ConveyanceLoss GridArea GW_historical GW_Future ReturnFlow
-117.40625 48.46875 348122 ALBEN 62 1 0.2 31.9908045748789 0.2 0.2 0
-117.34375 48.46875 348123 ALBEN 62 1 0.2 31.9908045748789 0.2 0.2 0
-117.28125 48.46875 348124 ALBEN 62 1 0.2 31.9908045748789 0.2 0.2 0
-117.21875 48.46875 348125 ALBEN 62 1 0.2 31.9908045748789 0.2 0.2 0
-117.15625 48.46875 348126 ALBEN 62 1 0.2 31.9908045748789 0.2 0.2 0
-117.09375 48.46875 348127 ALBEN 62 1 0.2 31.9908045748789 0.2 0.2 0
-117.03125 48.46875 348128 ALBEN 62 1 0.2 31.9908045748789 0.2 0.2 0
-116.96875 48.46875 348129 ALBEN NA 1 0.2 31.9908045748789 0.2 0.2 0
-116.90625 48.46875 348130 ALBEN NA 1 0.2 31.9908045748789 0.2 0.2 0
-116.84375 48.46875 348131 ALBEN NA 1 0.2 31.9908045748789 0.2 0.2 0
-116.78125 48.46875 348132 ALBEN NA 1 0.2 31.9908045748789 0.2 0.2 0
-116.71875 48.46875 348133 ALBEN NA 1 0.2 31.9908045748789 0.2 0.2 0
-116.65625 48.46875 348134 ALBEN NA 1 0.2 31.9908045748789 0.2 0.2 0
-116.59375 48.46875 348135 ALBEN NA 1 0.2 31.9908045748789 0.2 0.2 0
-116.53125 48.46875 348136 ALBEN NA 1 0.2 31.9908045748789 0.2 0.2 0
-116.40625 48.46875 348138 ALBEN NA 1 0.2 31.9908045748789 0.2 0.2 0
-116.34375 48.46875 348139 ALBEN NA 1 0.2 31.9908045748789 0.2 0.2 0
-116.28125 48.46875 348140 ALBEN NA 1 0.2 31.9908045748789 0.2 0.2 0
-116.21875 48.46875 348141 ALBEN NA 1 0.2 31.9908045748789 0.2 0.2 0
-117.46875 48.40625 347193 ALBEN 62 1 0.2 32.0301855910087 0.2 0.2 0
-117.40625 48.40625 347194 ALBEN 62 1 0.2 32.0301855910087 0.2 0.2 0
-117.34375 48.40625 347195 ALBEN 62 1 0.2 32.0301855910087 0.2 0.2 0
-117.28125 48.40625 347196 ALBEN 62 1 0.2 32.0301855910087 0.2 0.2 0
