"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1980-03-16 3 33 16 1980 767029.998533395 266647.369997374 292568.860280113 1587806.12179989 14999.0227198186 1103788.6
1980-03-23 3 34 23 1980 619220.870337192 279128.429100953 407482.956465493 1472892.02561451 9267.43726491971 1126271.2
1980-03-30 3 35 30 1980 564062.043969799 312113.095764363 480102.906660574 1400272.07541943 6913.55210004567 1126271.2
1980-04-06 4 36 6 1980 736947.229409109 130993.076609423 483887.526841571 1250146.97155843 0 1202283.8
1980-04-13 4 37 13 1980 857898.642410074 78070.1907285314 409415.303585131 1324619.19481487 0 1202283.8
1980-04-20 4 38 20 1980 1410687.35844052 1892.42640709217 214980.692312102 1701478.2446479 0 1202283.8
1980-04-27 4 39 27 1980 3418258.03599466 518324.889943686 0 2027045.29214954 0 1072722.60385046
1980-05-04 5 40 4 1980 6878320.9152107 4687921.17822703 0 3418091.40541126 3759438.18873037 0
1980-05-11 5 41 11 1980 7476228.91458003 4570852.44283865 0 3758177.57453635 3742817.77240239 0
1980-05-18 5 42 18 1980 7189364.00904215 3999423.94140375 0 4117290.0560774 3256841.44587665 0
1980-05-25 5 43 25 1980 6600341.43143508 2498055.34882356 0 3028537.28356048 1808235.81283366 334706.044439521
1980-06-01 6 44 1 1980 14140405.7066784 806961.91891986 0 2154232.89017013 0 1209010.43782987
1980-06-08 6 45 8 1980 5983425.48865342 783121.874618291 0 3167956.08190374 144353.346886601 0
1980-06-15 6 46 15 1980 4454329.73281075 530865.962436814 0 2726227.5793587 162046.763278058 434251.372641297
1980-06-22 6 47 22 1980 3222107.21762841 205382.537086862 0 2294759.84910761 21344.8865131465 865719.102892394
1980-06-29 6 48 29 1980 1876647.12225474 14143.9002075297 78157.2710148029 2020726.1045052 0 1082376.6
1980-07-06 7 49 6 1980 2042147.00389845 144490.057662968 0 2214602.8530173 144490.057662968 747550.506982697
1980-07-13 7 50 13 1980 1906799.70809232 98523.355892103 124429.903164217 1950397.50243578 10810.8145841 907868.8
1980-07-20 7 51 20 1980 1766073.8960649 175268.484927749 15593.0358752087 2059234.36972479 162849.476068667 902918.990275209
1980-07-27 7 52 27 1980 1481710.97658665 0 343938.20269926 1730889.20290074 0 907868.8
1980-08-03 8 1 3 1980 854209.105223954 0 282510.601699844 1660008.96934016 0 913221.8
1980-08-10 8 2 10 1980 462960.722677259 0 619254.45209018 1323265.11894982 0 913221.8
1980-08-17 8 3 17 1980 0 0 563164.51869181 1379355.05234819 0 913221.8
1980-08-24 8 4 24 1980 22113.6692589367 16281.1222924162 456103.334748425 1444318.28893157 0 913221.8
1980-08-31 8 5 31 1980 72322.3366676816 60673.6783738696 350926.321836125 1549495.30184387 0 913221.8
1980-09-07 9 6 7 1980 246272.864441897 240621.115909798 718157.342157163 1039933.12616284 0 998869.8
1980-09-14 9 7 14 1980 349803.207478304 320376.149309033 648664.802230904 1109425.6660891 0 998869.8
1980-09-21 9 8 21 1980 423716.014379445 373011.152424964 507412.162149702 1250678.3061703 0 998869.8
1980-09-28 9 9 28 1980 618614.167714772 555847.161613854 692704.633732559 1065385.83458744 0 998869.8
1980-10-05 10 10 5 1980 774667.431197591 464184.542319014 642369.609072664 1001455.00212734 0 1136977.2
1980-10-12 10 11 12 1980 866315.955127761 367436.690155081 646106.303973166 997718.307226834 0 1136977.2
1980-10-19 10 12 19 1980 907390.647437259 370113.174990083 687676.428489961 956148.182710039 0 1136977.2
1980-10-26 10 13 26 1980 968534.144318505 408120.972466811 605004.275945434 1038820.33525457 22473.2761176527 1136977.2
1980-11-02 11 14 2 1980 971689.983290184 381965.299361385 630617.55312731 1013207.05807269 12239.2780368021 1215131
1980-11-09 11 15 9 1980 1398433.25679559 269630.202097697 216247.856820272 1766364.99741973 148625.107598839 1215131
1980-11-16 11 16 16 1980 1676945.91573295 550937.471897567 411569.773188404 1571043.0810516 168162.624217427 1117706.4
1980-11-23 11 17 23 1980 1691246.39155683 350648.56205877 654148.218804887 1328464.63543511 65247.8402544677 1117706.4
1980-11-30 11 18 30 1980 1836176.71443414 513958.436728859 765225.086793538 1217387.76744646 118139.096833916 1008505.2
1980-12-07 12 19 7 1980 2227427.83828157 746129.561798599 150104.537639812 2159268.57468019 520846.228468785 1008505.2
1980-12-14 12 20 14 1980 2293713.36982515 694045.151623477 192707.733333563 2116665.37898644 418819.991432304 1008505.2
1980-12-21 12 21 21 1980 2539186.69028987 494874.106040992 302445.310098996 2006927.802221 209419.746308482 1008505.2
1980-12-28 12 22 28 1980 2888513.76804417 725827.584240567 590249.560949331 1719123.55137067 287586.507281883 1008505.2
1981-01-04 1 23 4 1981 4964815.48887732 4616168.9740729 270550.01034781 2028799.78117219 3671938.59072704 1020281.8
1981-01-11 1 24 11 1981 5024559.18413655 3971130.24838815 706233.939245947 1593115.85227405 2597840.09047372 1020281.8
1981-01-18 1 25 18 1981 4528115.39372587 2333864.68284288 230757.272449535 2068592.51907047 1387595.75225935 1020281.8
1981-01-25 1 26 25 1981 3620951.56010606 860564.463314246 289795.098539848 2009554.69298015 257088.162259438 1020281.8
1981-02-01 2 27 1 1981 3749316.17704505 677177.663866664 140576.792094929 2158772.99942507 173656.9145073 1033129
1981-02-08 2 28 8 1981 4031936.72431152 1144867.60331571 463591.696575894 1675384.96214411 495511.30130048 1103788.6
1981-02-15 2 29 15 1981 3689537.76390127 560016.577518495 849819.323599873 1289157.33512013 48354.1434821604 1033129
1981-02-22 2 30 22 1981 4116509.48840877 908838.298560881 412224.877458951 1726751.78126105 218298.399299953 1033129
1981-03-01 3 31 1 1981 5397549.06828986 1889975.17956819 67059.1943834305 2071917.46433657 1028868.18814691 1033129
1981-03-08 3 32 8 1981 4623981.44787086 1250310.79240151 257760.538190051 1622614.44388995 609270.026220715 1103788.6
1981-03-15 3 33 15 1981 4048799.25837025 611363.329159385 36675.5485361102 1843699.43354389 105091.539963355 1103788.6
1981-03-22 3 34 22 1981 3999355.11045329 769757.813826607 81304.7523243774 1799070.22975562 74748.2746314775 1126271.2
1981-03-29 3 35 29 1981 3861375.48639845 658071.379540455 18660.8947319842 1861714.08734802 52205.5529253616 1126271.2
1981-04-05 4 36 5 1981 4152331.61623562 470826.93029611 4661.13072753232 1729373.36767247 765.224215859797 1189776.27232753
1981-04-12 4 37 12 1981 4261773.6855357 234017.503754973 0 1780529.93431289 542.417300694557 1138619.70568711
1981-04-19 4 38 19 1981 4646719.5834728 20627.7843360035 397205.109172802 1519253.8277872 0 1202283.8
1981-04-26 4 39 26 1981 5849585.96502206 455412.807525106 310897.934448307 1605561.00251169 0 1202283.8
1981-05-03 5 40 3 1981 7857794.17392191 3959287.41224546 0 2910203.45308415 3334418.98608948 453039.874915847
1981-05-10 5 41 10 1981 8125556.69464041 4386197.791057 0 3006868.67638802 3750165.47346502 356374.65161198
1981-05-17 5 42 17 1981 6235207.49913702 2483467.97714981 0 2802657.73580275 1931682.35076465 560585.592197246
1981-05-24 5 43 24 1981 5223088.8892152 666785.019977209 0 2486414.89128468 0 876828.436715319
1981-05-31 5 44 31 1981 6594182.66257833 792092.189795463 0 2483502.10086839 0 879741.227131611
1981-06-07 6 45 7 1981 6923049.86003985 1301879.50119081 0 2456065.68218852 754854.318539851 704413.269811478
1981-06-14 6 46 14 1981 6600314.55878174 1082644.99665047 0 2665962.10217957 694849.734947645 494516.849820433
1981-06-21 6 47 21 1981 8661649.31280082 1133724.3995388 0 2788831.73527742 747230.2029227 371647.216722582
