"date" "month" "week" "day" "year" "FirmEnergy" "NonFirmEnergy" "ColFallsFlow" "LowerGraniteFlow" "VernitaBarFlow" "McNaryFlow" "GCRec" "DallesFlood" "IHNav" "BonnevillFlow" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "TotalSysEnergy" "BonnevilleFlow"
1979-10-21 10 12 21 1979 209208.344583797 1124594.28 1654.68053262602 0 25004.6765154848 0 0 0 65339.8347735858 0 4585927.12290274 49584962.9203671 NA 1416713.2262962 0
1979-10-28 10 13 28 1979 0 1001628.05176314 1099.58889370981 0 11433.036044448 0 0 0 43052.6200103236 0 4597051.96824951 56964219.2 NA 1750515.34823686 0
1979-11-04 11 14 4 1979 0 869704.591583387 1602.11827963737 0 0 0 0 0 49032.3112705623 0 4560889.96934974 56964219.2 NA 1959741.42841661 0
1979-11-11 11 15 11 1979 34625.8056673114 1201896.9 2056.56275734332 0 0 0 0 0 72932.7588529309 0 4682746.99121299 67423798.2358041 NA 1926394.23530869 0
1979-11-18 11 16 18 1979 29993.3971941518 1105533.36 0 0 0 0 0 0 75317.328050533 0 5210421.90391716 67585932.5323647 NA 1931026.64378185 0
1979-11-25 11 17 25 1979 113555.674269315 1105533.36 0 0 0 0 0 0 72772.6097598711 0 5756668.57619224 64661252.834734 NA 1847464.36670668 0
1979-12-02 12 18 2 1979 170163.108888196 997521.48 0 0 2070.23290932579 0 0 0 70051.3234580773 0 6277482.85376623 62679992.6230731 NA 1790856.9320878 0
1979-12-09 12 19 9 1979 0 908279.725108567 0 0 0 0 0 0 73350.9919057743 0 6210967.05943411 80027781.12 NA 2375749.78689143 0
1979-12-16 12 20 16 1979 0 651466.409005623 0 0 0 0 0 0 67116.3823520476 0 6664830.78353082 80027781.12 NA 2632563.10299438 0
1979-12-23 12 21 23 1979 0 768011.790113571 0 0 0 0 0 0 69119.323280525 0 7163803.60361098 80027781.12 NA 2516017.72188643 0
1979-12-30 12 22 30 1979 0 798464.446877065 0 0 0 0 0 0 69236.6741460352 0 7584470.62432019 80027781.12 NA 2485565.06512293 0
1980-01-06 1 23 6 1980 0 366255.325997796 0 0 0 0 0 0 67434.9642740327 0 8238288.54430838 79680438.32 NA 2919498.4460022 0
1980-01-13 1 24 13 1980 297777.471202462 1009169.82 0 0 0 0 11.8393183221458 0 76170.156417147 0 9595113.24838924 69178546.3895938 NA 1976529.89684554 0
1980-01-20 1 25 20 1980 55005.0808510133 1009169.82 0 0 0 0 11.8393183221458 0 69883.6513944517 0 9736249.87566725 77675580.0518945 NA 2219302.28719699 0
1980-01-27 1 26 27 1980 166337.804814621 1009169.82 0 0 0 0 11.8393183221458 0 66797.31597721 0 10209370.3502539 73778934.7131683 NA 2107969.56323338 0
1980-02-03 2 27 3 1980 204858.307426837 1021877.1 0 0 0 0 11.8393183221458 0 73740.4255565674 0 10584480.787103 72430717.1217407 NA 2069449.06062116 0
1980-02-10 2 28 10 1980 0 1068854.10271121 0 0 0 0 11.8393183221458 0 72896.0151514996 0 10943739.7948395 74122953.52 NA 2140711.70928879 0
