"date" "month" "week" "day" "year" "GC_VDL_df[1, ]"
1982-07-11 7 50 11 1982 9107400
1982-07-18 7 51 18 1982 9107400
1982-07-25 7 52 25 1982 9107400
1982-08-01 8 1 1 1982 9107400
1982-08-08 8 2 8 1982 9107400
1982-08-15 8 3 15 1982 9107400
1982-08-22 8 4 22 1982 9107400
1982-08-29 8 5 29 1982 9107400
1982-09-05 9 6 5 1982 9107400
1982-09-12 9 7 12 1982 9107400
1982-09-19 9 8 19 1982 9107400
1982-09-26 9 9 26 1982 9107400
1982-10-03 10 10 3 1982 9107400
1982-10-10 10 11 10 1982 9107400
1982-10-17 10 12 17 1982 9107400
1982-10-24 10 13 24 1982 9107400
1982-10-31 10 14 31 1982 9107400
1982-11-07 11 15 7 1982 9107400
1982-11-14 11 16 14 1982 9107400
1982-11-21 11 17 21 1982 9107400
1982-11-28 11 18 28 1982 9107400
1982-12-05 12 19 5 1982 9107400
1982-12-12 12 20 12 1982 9107400
1982-12-19 12 21 19 1982 9107400
1982-12-26 12 22 26 1982 9107400
1983-01-02 1 23 2 1983 7450294
1983-01-09 1 24 9 1983 7450294
1983-01-16 1 25 16 1983 7450294
1983-01-23 1 26 23 1983 7450294
1983-01-30 1 27 30 1983 7450294
1983-02-06 2 28 6 1983 7091088
1983-02-13 2 29 13 1983 6731882
1983-02-20 2 30 20 1983 6372675
1983-02-27 2 31 27 1983 6013469
1983-03-06 3 32 6 1983 5698197
1983-03-13 3 33 13 1983 5679362
1983-03-20 3 34 20 1983 5705147
1983-03-27 3 35 27 1983 5741839
1983-04-03 4 36 3 1983 5752550
1983-04-10 4 37 10 1983 5436800
1983-04-17 4 38 17 1983 5121050
1983-04-24 4 39 24 1983 4805300
1983-05-01 5 40 1 1983 4805300
1983-05-08 5 41 8 1983 4805300
1983-05-15 5 42 15 1983 9107400
1983-05-22 5 43 22 1983 9107400
1983-05-29 5 44 29 1983 9107400
1983-06-05 6 45 5 1983 9107400
1983-06-12 6 46 12 1983 9107400
1983-06-19 6 47 19 1983 9107400
1983-06-26 6 48 26 1983 9107400
